page,claim,verdict,tags,date,author,source_list,source_url,value,name
https://www.snopes.com/fact-check/drunk-man-has-sex-with-snowman/,an habitual alcohol abuser lost his penis to frostbite after a drunken sexual encounter with a snowman.,false,"['fake news', 'sex', 'snowman', 'sunday sport', 'the frisky', 'thug life videos', 'uproxx']",2016/12/15,Kim LaCapria,"['https://en.wikipedia.org/wiki/Sunday_Sport', 'http://archive.is/4QuvE', 'https://en.wikipedia.org/wiki/Weekly_World_News', 'https://www.pressreader.com/uk/sunday-sport/20130120/281719791946133', 'http://931jackfm.cbslocal.com/2013/01/24/meanwhile-in-england-drunk-man-suffers-from-frostbite-after-trying-to-have-sex-with-a-snowman/']",http://archive.is/4QuvE,1,hanselowski
https://www.snopes.com/fact-check/eclipse-racist/,"law professor alice ristroph wrote in the atlantic magazine that the 2017 solar eclipse, its path, or those who viewed it, were ""racist.""",false,"['conservative tribune', 'daily caller']",2017/08/21,"Dan MacGuill
David Mikkelson","['https://www.theatlantic.com/science/archive/2017/08/american-totality-eclipse-race/537318/', 'http://archive.is/mrv1Q', 'https://obamawhitehouse.archives.gov/the-press-office/2017/01/12/presidential-memorandum-promoting-diversity-and-inclusion-our-national', 'http://archive.is/rOr0b', 'http://archive.is/Bb3yz']",https://obamawhitehouse.archives.gov/the-press-office/2017/01/12/presidential-memorandum-promoting-diversity-and-inclusion-our-national,2,hanselowski
https://www.snopes.com/fact-check/christine-blasey-ford-peter-strzok/,"christine blasey ford's brother, tom blasey, worked in the same company as a close relative (wife, sister, or sister-in-law) of former fbi agent peter strzok.",false,"['brett kavanaugh', 'christine blasey ford', 'peter strzok']",2018/10/01,David Emery,"['http://wiclarkcountyhistory.org/0data/13/13138.htm', 'http://archive.is/YwSAU', 'https://www.sec.gov/news/pressrelease/2016-217.html', 'https://www.washingtonpost.com/local/christine-blasey-fords-own-family-has-been-nearly-silent-amid-outpouring-of-support/2018/09/26/49a3f4a6-c0d6-11e8-be77-516336a26305_story.html', 'http://www.wiclarkcountyhistory.org/4data/94/94352.htm']",http://www.wiclarkcountyhistory.org/4data/94/94352.htm,2,hanselowski
https://www.snopes.com/fact-check/eclipse-racist/,"law professor alice ristroph wrote in the atlantic magazine that the 2017 solar eclipse, its path, or those who viewed it, were ""racist.""",false,"['conservative tribune', 'daily caller']",2017/08/21,"Dan MacGuill
David Mikkelson","['https://www.theatlantic.com/science/archive/2017/08/american-totality-eclipse-race/537318/', 'http://archive.is/mrv1Q', 'https://obamawhitehouse.archives.gov/the-press-office/2017/01/12/presidential-memorandum-promoting-diversity-and-inclusion-our-national', 'http://archive.is/rOr0b', 'http://archive.is/Bb3yz']",http://archive.is/Bb3yz,1,hanselowski
https://www.snopes.com/fact-check/christine-blasey-ford-peter-strzok/,"christine blasey ford's brother, tom blasey, worked in the same company as a close relative (wife, sister, or sister-in-law) of former fbi agent peter strzok.",false,"['brett kavanaugh', 'christine blasey ford', 'peter strzok']",2018/10/01,David Emery,"['http://wiclarkcountyhistory.org/0data/13/13138.htm', 'http://archive.is/YwSAU', 'https://www.sec.gov/news/pressrelease/2016-217.html', 'https://www.washingtonpost.com/local/christine-blasey-fords-own-family-has-been-nearly-silent-amid-outpouring-of-support/2018/09/26/49a3f4a6-c0d6-11e8-be77-516336a26305_story.html', 'http://www.wiclarkcountyhistory.org/4data/94/94352.htm']",https://www.sec.gov/news/pressrelease/2016-217.html,2,hanselowski
https://www.snopes.com/fact-check/christine-blasey-ford-peter-strzok/,"christine blasey ford's brother, tom blasey, worked in the same company as a close relative (wife, sister, or sister-in-law) of former fbi agent peter strzok.",false,"['brett kavanaugh', 'christine blasey ford', 'peter strzok']",2018/10/01,David Emery,"['http://wiclarkcountyhistory.org/0data/13/13138.htm', 'http://archive.is/YwSAU', 'https://www.sec.gov/news/pressrelease/2016-217.html', 'https://www.washingtonpost.com/local/christine-blasey-fords-own-family-has-been-nearly-silent-amid-outpouring-of-support/2018/09/26/49a3f4a6-c0d6-11e8-be77-516336a26305_story.html', 'http://www.wiclarkcountyhistory.org/4data/94/94352.htm']",http://wiclarkcountyhistory.org/0data/13/13138.htm,2,hanselowski
https://www.snopes.com/fact-check/bernie-sanders-evil-billionaire/,"u.s. sen. bernie sanders called businessman robert f. smith an ""evil billionaire"" and criticized him for donating money to graduating college students, rather than the federal government.",false,[''],2019/05/23,Dan MacGuill,"['https://www.sanders.senate.gov/download/collegeforall/?inline=file', 'http://archive.is/aRcwo', 'http://archive.is/tO7sH', 'http://archive.is/jNWKE', 'http://archive.is/y0E24', 'http://archive.is/YJhRI']",http://archive.is/aRcwo,2,hanselowski
https://www.snopes.com/fact-check/bernie-sanders-evil-billionaire/,"u.s. sen. bernie sanders called businessman robert f. smith an ""evil billionaire"" and criticized him for donating money to graduating college students, rather than the federal government.",false,[''],2019/05/23,Dan MacGuill,"['https://www.sanders.senate.gov/download/collegeforall/?inline=file', 'http://archive.is/aRcwo', 'http://archive.is/tO7sH', 'http://archive.is/jNWKE', 'http://archive.is/y0E24', 'http://archive.is/YJhRI']",http://archive.is/tO7sH,2,hanselowski
https://www.snopes.com/fact-check/chocolate-extinct-40-years/,chocolate is on track to go extinct in 40 years.,false,[''],2018/01/02,Alex Kasprak,"['http://archive.is/wYdiT#selection-917.258-929.68', 'http://archive.is/wYdiT#selection-877.0-877.116', 'https://www.usatoday.com/story/money/nation-now/2018/01/02/m-ms-maker-fears-chocolate-shortage-2050-report-says/996962001/', 'https://www.climate.gov/news-features/climate-and/climate-chocolate', 'http://archive.is/wYdiT', 'https://www.wired.com/story/what-is-crispr-gene-editing/']",https://www.usatoday.com/story/money/nation-now/2018/01/02/m-ms-maker-fears-chocolate-shortage-2050-report-says/996962001/,2,hanselowski
https://www.snopes.com/fact-check/bernie-sanders-evil-billionaire/,"u.s. sen. bernie sanders called businessman robert f. smith an ""evil billionaire"" and criticized him for donating money to graduating college students, rather than the federal government.",false,[''],2019/05/23,Dan MacGuill,"['https://www.sanders.senate.gov/download/collegeforall/?inline=file', 'http://archive.is/aRcwo', 'http://archive.is/tO7sH', 'http://archive.is/jNWKE', 'http://archive.is/y0E24', 'http://archive.is/YJhRI']",http://archive.is/YJhRI,1,hanselowski
