page,claim,verdict,tags,date,author,source_list,source_url,value,name
https://www.snopes.com/fact-check/holistic-doctor-death-conspiracy/,"in just over a year, more than sixty holistic health practitioners have died suspicious deaths, and the media refuses to acknowledge that these deaths might be linked.",false,['holistic doctors'],2017/05/03,Alex Kasprak,"['https://www.washingtonpost.com/news/morning-mix/wp/2015/06/29/anti-vaccine-doctor-behind-dangerous-autism-therapy-found-dead-family-cries-foul/?utm_term=.0834c8957c75', 'http://archive.is/KTYF4#selection-2089.0-2089.419', 'http://archive.is/Mr4Yv#selection-1165.1-1165.31', 'http://archive.is/G2ETU#selection-2263.97-2269.47', 'http://archive.is/Yprep#selection-1497.0-1497.181', 'http://archive.is/OKVyp#selection-1507.141-1507.301', 'http://archive.is/NJF46#selection-3091.1-3091.78', 'http://archive.is/Z4qAr#selection-1537.0-1547.17', 'https://www.washingtonpost.com/news/morning-mix/wp/2015/07/16/the-mysterious-death-of-a-doctor-who-peddled-autism-cures-to-thousands/?utm_term=.d8baa7fd7f52', 'http://archive.is/7jkgd#selection-1495.16-1501.381', 'http://archive.is/ZqTaB#selection-1501.0-1501.337', 'http://archive.is/DpGM6', 'http://archive.is/KTYF4', 'http://archive.is/2VzEx', 'http://archive.is/LlkC1', 'http://archive.is/QCrC3#selection-2289.0-2289.261', 'http://archive.is/2IIrU', 'http://archive.is/5H3fq#selection-2269.0-2281.75', 'http://www.post-gazette.com/local/north/2015/08/13/Doctor-64-found-dead-in-her-home-in-Sharon/stories/201508130213', 'http://archive.is/M9dua', 'http://www.uticaod.com/news/20160928/hearing-reveals-details-in-case-of-woman-charged-with-killing-boss', 'https://docs.google.com/spreadsheets/d/1cmo-q6nPBKe08_sWLie8i-XhSmWxTFDi-HiN2m2rnoU/edit?usp=sharing', 'http://archive.is/MlnZW#selection-1495.161-1498.2', 'http://archive.is/HfPUz#selection-4743.0-4755.364', 'http://archive.is/7jSgX#selection-1493.250-1499.74', 'http://archive.is/tUlCA', 'http://archive.is/jhG10#selection-3143.0-3183.225', 'http://archive.is/wAf9k', 'https://www.slu.edu/news/2017/february/mark-buller-obituary.php', 'http://archive.is/Z4qAr', 'http://www.kens5.com/news/local/bpd-body-found-near-car-accident/121622312', 'http://archive.is/Z4qAr#selection-1519.26-1519.60', 'http://archive.is/L9LBD#selection-1533.0-1533.171', 'https://www.usatoday.com/story/news/nation/2015/08/18/wis-doctor-who-went-missing-after-fight-wife-ruled-suicide/31953919/', 'http://archive.is/g06P9', 'http://archive.is/NJF46', 'http://archive.is/gfKiA#selection-1515.0-1515.78', 'http://archive.is/D212b#selection-2351.0-2369.314', 'http://archive.is/AznNX#selection-1577.282-1607.140', 'http://archive.is/wMDBy', 'http://bigstory.ap.org/article/2229e31ab99a4e40a0395e0974f782f2/california-man-charged-killing-herbalist-wife-child', 'http://archive.is/nIF7O#selection-739.517-739.695', 'http://archive.is/0EIsj#selection-1521.0-1527.79', 'http://archive.is/HtRLT#selection-1709.0-1715.291', 'http://archive.is/g30x8', 'http://archive.is/Z4qAr#selection-2631.0-2631.213', 'http://archive.is/DjWyE#selection-1629.0-1647.103', 'http://archive.is/XGqYl']",http://archive.is/ZqTaB#selection-1501.0-1501.337,1,Manuel
https://www.snopes.com/fact-check/was-donald-trump-accused-of-sexual-assault-prior-to-the-2016-election/,donald trump was not accused of sexual assault until he ran for president in 2016.,false,"['donald trump', 'sexual assault', 'sexual harassment']",,Dan Evon,"['https://www.washingtonpost.com/lifestyle/style/column-anna-holmes-on-donald-trumps-sexism/2011/04/21/AFmSfEHF_story.html', 'https://www.newyorker.com/news/news-desk/weighing-the-costs-of-speaking-out-about-harvey-weinstein', 'https://www.theatlantic.com/politics/archive/2017/12/what-about-the-19-women-who-accused-trump/547724/', 'https://archive.is/iPMjz', 'https://www.vox.com/identities/2017/10/15/16438750/weinstein-sexual-harassment-facts', 'https://www.washingtonpost.com/news/post-nation/wp/2017/10/27/all-that-angers-unleashed-how-sexual-misconduct-stories-convince-other-victims-to-come-forward/?utm_term=.d1b435d443f8', 'https://lawandcrime.com/high-profile/exclusive-inside-the-donald-trump-sexual-assault-lawsuit/', 'https://www.washingtonpost.com/politics/trump-recorded-having-extremely-lewd-conversation-about-women-in-2005/2016/10/07/3b9ce776-8cb4-11e6-bf8a-3d26847eeed4_story.html', 'https://www.scribd.com/doc/300193678/1997-Jill-Harth-Lawsuit', 'https://www.thedailybeast.com/ex-wife-donald-trump-made-me-feel-violated-during-sex']",https://www.vox.com/identities/2017/10/15/16438750/weinstein-sexual-harassment-facts,2,Manuel
https://www.snopes.com/fact-check/was-donald-trump-accused-of-sexual-assault-prior-to-the-2016-election/,donald trump was not accused of sexual assault until he ran for president in 2016.,false,"['donald trump', 'sexual assault', 'sexual harassment']",,Dan Evon,"['https://www.washingtonpost.com/lifestyle/style/column-anna-holmes-on-donald-trumps-sexism/2011/04/21/AFmSfEHF_story.html', 'https://www.newyorker.com/news/news-desk/weighing-the-costs-of-speaking-out-about-harvey-weinstein', 'https://www.theatlantic.com/politics/archive/2017/12/what-about-the-19-women-who-accused-trump/547724/', 'https://archive.is/iPMjz', 'https://www.vox.com/identities/2017/10/15/16438750/weinstein-sexual-harassment-facts', 'https://www.washingtonpost.com/news/post-nation/wp/2017/10/27/all-that-angers-unleashed-how-sexual-misconduct-stories-convince-other-victims-to-come-forward/?utm_term=.d1b435d443f8', 'https://lawandcrime.com/high-profile/exclusive-inside-the-donald-trump-sexual-assault-lawsuit/', 'https://www.washingtonpost.com/politics/trump-recorded-having-extremely-lewd-conversation-about-women-in-2005/2016/10/07/3b9ce776-8cb4-11e6-bf8a-3d26847eeed4_story.html', 'https://www.scribd.com/doc/300193678/1997-Jill-Harth-Lawsuit', 'https://www.thedailybeast.com/ex-wife-donald-trump-made-me-feel-violated-during-sex']",https://lawandcrime.com/high-profile/exclusive-inside-the-donald-trump-sexual-assault-lawsuit/,3,Manuel
https://www.snopes.com/fact-check/was-donald-trump-accused-of-sexual-assault-prior-to-the-2016-election/,donald trump was not accused of sexual assault until he ran for president in 2016.,false,"['donald trump', 'sexual assault', 'sexual harassment']",,Dan Evon,"['https://www.washingtonpost.com/lifestyle/style/column-anna-holmes-on-donald-trumps-sexism/2011/04/21/AFmSfEHF_story.html', 'https://www.newyorker.com/news/news-desk/weighing-the-costs-of-speaking-out-about-harvey-weinstein', 'https://www.theatlantic.com/politics/archive/2017/12/what-about-the-19-women-who-accused-trump/547724/', 'https://archive.is/iPMjz', 'https://www.vox.com/identities/2017/10/15/16438750/weinstein-sexual-harassment-facts', 'https://www.washingtonpost.com/news/post-nation/wp/2017/10/27/all-that-angers-unleashed-how-sexual-misconduct-stories-convince-other-victims-to-come-forward/?utm_term=.d1b435d443f8', 'https://lawandcrime.com/high-profile/exclusive-inside-the-donald-trump-sexual-assault-lawsuit/', 'https://www.washingtonpost.com/politics/trump-recorded-having-extremely-lewd-conversation-about-women-in-2005/2016/10/07/3b9ce776-8cb4-11e6-bf8a-3d26847eeed4_story.html', 'https://www.scribd.com/doc/300193678/1997-Jill-Harth-Lawsuit', 'https://www.thedailybeast.com/ex-wife-donald-trump-made-me-feel-violated-during-sex']",https://www.newyorker.com/news/news-desk/weighing-the-costs-of-speaking-out-about-harvey-weinstein,2,Manuel
https://www.snopes.com/fact-check/holistic-doctor-death-conspiracy/,"in just over a year, more than sixty holistic health practitioners have died suspicious deaths, and the media refuses to acknowledge that these deaths might be linked.",false,['holistic doctors'],2017/05/03,Alex Kasprak,"['https://www.washingtonpost.com/news/morning-mix/wp/2015/06/29/anti-vaccine-doctor-behind-dangerous-autism-therapy-found-dead-family-cries-foul/?utm_term=.0834c8957c75', 'http://archive.is/KTYF4#selection-2089.0-2089.419', 'http://archive.is/Mr4Yv#selection-1165.1-1165.31', 'http://archive.is/G2ETU#selection-2263.97-2269.47', 'http://archive.is/Yprep#selection-1497.0-1497.181', 'http://archive.is/OKVyp#selection-1507.141-1507.301', 'http://archive.is/NJF46#selection-3091.1-3091.78', 'http://archive.is/Z4qAr#selection-1537.0-1547.17', 'https://www.washingtonpost.com/news/morning-mix/wp/2015/07/16/the-mysterious-death-of-a-doctor-who-peddled-autism-cures-to-thousands/?utm_term=.d8baa7fd7f52', 'http://archive.is/7jkgd#selection-1495.16-1501.381', 'http://archive.is/ZqTaB#selection-1501.0-1501.337', 'http://archive.is/DpGM6', 'http://archive.is/KTYF4', 'http://archive.is/2VzEx', 'http://archive.is/LlkC1', 'http://archive.is/QCrC3#selection-2289.0-2289.261', 'http://archive.is/2IIrU', 'http://archive.is/5H3fq#selection-2269.0-2281.75', 'http://www.post-gazette.com/local/north/2015/08/13/Doctor-64-found-dead-in-her-home-in-Sharon/stories/201508130213', 'http://archive.is/M9dua', 'http://www.uticaod.com/news/20160928/hearing-reveals-details-in-case-of-woman-charged-with-killing-boss', 'https://docs.google.com/spreadsheets/d/1cmo-q6nPBKe08_sWLie8i-XhSmWxTFDi-HiN2m2rnoU/edit?usp=sharing', 'http://archive.is/MlnZW#selection-1495.161-1498.2', 'http://archive.is/HfPUz#selection-4743.0-4755.364', 'http://archive.is/7jSgX#selection-1493.250-1499.74', 'http://archive.is/tUlCA', 'http://archive.is/jhG10#selection-3143.0-3183.225', 'http://archive.is/wAf9k', 'https://www.slu.edu/news/2017/february/mark-buller-obituary.php', 'http://archive.is/Z4qAr', 'http://www.kens5.com/news/local/bpd-body-found-near-car-accident/121622312', 'http://archive.is/Z4qAr#selection-1519.26-1519.60', 'http://archive.is/L9LBD#selection-1533.0-1533.171', 'https://www.usatoday.com/story/news/nation/2015/08/18/wis-doctor-who-went-missing-after-fight-wife-ruled-suicide/31953919/', 'http://archive.is/g06P9', 'http://archive.is/NJF46', 'http://archive.is/gfKiA#selection-1515.0-1515.78', 'http://archive.is/D212b#selection-2351.0-2369.314', 'http://archive.is/AznNX#selection-1577.282-1607.140', 'http://archive.is/wMDBy', 'http://bigstory.ap.org/article/2229e31ab99a4e40a0395e0974f782f2/california-man-charged-killing-herbalist-wife-child', 'http://archive.is/nIF7O#selection-739.517-739.695', 'http://archive.is/0EIsj#selection-1521.0-1527.79', 'http://archive.is/HtRLT#selection-1709.0-1715.291', 'http://archive.is/g30x8', 'http://archive.is/Z4qAr#selection-2631.0-2631.213', 'http://archive.is/DjWyE#selection-1629.0-1647.103', 'http://archive.is/XGqYl']",http://archive.is/5H3fq#selection-2269.0-2281.75,1,Manuel
https://www.snopes.com/fact-check/holistic-doctor-death-conspiracy/,"in just over a year, more than sixty holistic health practitioners have died suspicious deaths, and the media refuses to acknowledge that these deaths might be linked.",false,['holistic doctors'],2017/05/03,Alex Kasprak,"['https://www.washingtonpost.com/news/morning-mix/wp/2015/06/29/anti-vaccine-doctor-behind-dangerous-autism-therapy-found-dead-family-cries-foul/?utm_term=.0834c8957c75', 'http://archive.is/KTYF4#selection-2089.0-2089.419', 'http://archive.is/Mr4Yv#selection-1165.1-1165.31', 'http://archive.is/G2ETU#selection-2263.97-2269.47', 'http://archive.is/Yprep#selection-1497.0-1497.181', 'http://archive.is/OKVyp#selection-1507.141-1507.301', 'http://archive.is/NJF46#selection-3091.1-3091.78', 'http://archive.is/Z4qAr#selection-1537.0-1547.17', 'https://www.washingtonpost.com/news/morning-mix/wp/2015/07/16/the-mysterious-death-of-a-doctor-who-peddled-autism-cures-to-thousands/?utm_term=.d8baa7fd7f52', 'http://archive.is/7jkgd#selection-1495.16-1501.381', 'http://archive.is/ZqTaB#selection-1501.0-1501.337', 'http://archive.is/DpGM6', 'http://archive.is/KTYF4', 'http://archive.is/2VzEx', 'http://archive.is/LlkC1', 'http://archive.is/QCrC3#selection-2289.0-2289.261', 'http://archive.is/2IIrU', 'http://archive.is/5H3fq#selection-2269.0-2281.75', 'http://www.post-gazette.com/local/north/2015/08/13/Doctor-64-found-dead-in-her-home-in-Sharon/stories/201508130213', 'http://archive.is/M9dua', 'http://www.uticaod.com/news/20160928/hearing-reveals-details-in-case-of-woman-charged-with-killing-boss', 'https://docs.google.com/spreadsheets/d/1cmo-q6nPBKe08_sWLie8i-XhSmWxTFDi-HiN2m2rnoU/edit?usp=sharing', 'http://archive.is/MlnZW#selection-1495.161-1498.2', 'http://archive.is/HfPUz#selection-4743.0-4755.364', 'http://archive.is/7jSgX#selection-1493.250-1499.74', 'http://archive.is/tUlCA', 'http://archive.is/jhG10#selection-3143.0-3183.225', 'http://archive.is/wAf9k', 'https://www.slu.edu/news/2017/february/mark-buller-obituary.php', 'http://archive.is/Z4qAr', 'http://www.kens5.com/news/local/bpd-body-found-near-car-accident/121622312', 'http://archive.is/Z4qAr#selection-1519.26-1519.60', 'http://archive.is/L9LBD#selection-1533.0-1533.171', 'https://www.usatoday.com/story/news/nation/2015/08/18/wis-doctor-who-went-missing-after-fight-wife-ruled-suicide/31953919/', 'http://archive.is/g06P9', 'http://archive.is/NJF46', 'http://archive.is/gfKiA#selection-1515.0-1515.78', 'http://archive.is/D212b#selection-2351.0-2369.314', 'http://archive.is/AznNX#selection-1577.282-1607.140', 'http://archive.is/wMDBy', 'http://bigstory.ap.org/article/2229e31ab99a4e40a0395e0974f782f2/california-man-charged-killing-herbalist-wife-child', 'http://archive.is/nIF7O#selection-739.517-739.695', 'http://archive.is/0EIsj#selection-1521.0-1527.79', 'http://archive.is/HtRLT#selection-1709.0-1715.291', 'http://archive.is/g30x8', 'http://archive.is/Z4qAr#selection-2631.0-2631.213', 'http://archive.is/DjWyE#selection-1629.0-1647.103', 'http://archive.is/XGqYl']",http://archive.is/KTYF4,1,Manuel
https://www.snopes.com/fact-check/holistic-doctor-death-conspiracy/,"in just over a year, more than sixty holistic health practitioners have died suspicious deaths, and the media refuses to acknowledge that these deaths might be linked.",false,['holistic doctors'],2017/05/03,Alex Kasprak,"['https://www.washingtonpost.com/news/morning-mix/wp/2015/06/29/anti-vaccine-doctor-behind-dangerous-autism-therapy-found-dead-family-cries-foul/?utm_term=.0834c8957c75', 'http://archive.is/KTYF4#selection-2089.0-2089.419', 'http://archive.is/Mr4Yv#selection-1165.1-1165.31', 'http://archive.is/G2ETU#selection-2263.97-2269.47', 'http://archive.is/Yprep#selection-1497.0-1497.181', 'http://archive.is/OKVyp#selection-1507.141-1507.301', 'http://archive.is/NJF46#selection-3091.1-3091.78', 'http://archive.is/Z4qAr#selection-1537.0-1547.17', 'https://www.washingtonpost.com/news/morning-mix/wp/2015/07/16/the-mysterious-death-of-a-doctor-who-peddled-autism-cures-to-thousands/?utm_term=.d8baa7fd7f52', 'http://archive.is/7jkgd#selection-1495.16-1501.381', 'http://archive.is/ZqTaB#selection-1501.0-1501.337', 'http://archive.is/DpGM6', 'http://archive.is/KTYF4', 'http://archive.is/2VzEx', 'http://archive.is/LlkC1', 'http://archive.is/QCrC3#selection-2289.0-2289.261', 'http://archive.is/2IIrU', 'http://archive.is/5H3fq#selection-2269.0-2281.75', 'http://www.post-gazette.com/local/north/2015/08/13/Doctor-64-found-dead-in-her-home-in-Sharon/stories/201508130213', 'http://archive.is/M9dua', 'http://www.uticaod.com/news/20160928/hearing-reveals-details-in-case-of-woman-charged-with-killing-boss', 'https://docs.google.com/spreadsheets/d/1cmo-q6nPBKe08_sWLie8i-XhSmWxTFDi-HiN2m2rnoU/edit?usp=sharing', 'http://archive.is/MlnZW#selection-1495.161-1498.2', 'http://archive.is/HfPUz#selection-4743.0-4755.364', 'http://archive.is/7jSgX#selection-1493.250-1499.74', 'http://archive.is/tUlCA', 'http://archive.is/jhG10#selection-3143.0-3183.225', 'http://archive.is/wAf9k', 'https://www.slu.edu/news/2017/february/mark-buller-obituary.php', 'http://archive.is/Z4qAr', 'http://www.kens5.com/news/local/bpd-body-found-near-car-accident/121622312', 'http://archive.is/Z4qAr#selection-1519.26-1519.60', 'http://archive.is/L9LBD#selection-1533.0-1533.171', 'https://www.usatoday.com/story/news/nation/2015/08/18/wis-doctor-who-went-missing-after-fight-wife-ruled-suicide/31953919/', 'http://archive.is/g06P9', 'http://archive.is/NJF46', 'http://archive.is/gfKiA#selection-1515.0-1515.78', 'http://archive.is/D212b#selection-2351.0-2369.314', 'http://archive.is/AznNX#selection-1577.282-1607.140', 'http://archive.is/wMDBy', 'http://bigstory.ap.org/article/2229e31ab99a4e40a0395e0974f782f2/california-man-charged-killing-herbalist-wife-child', 'http://archive.is/nIF7O#selection-739.517-739.695', 'http://archive.is/0EIsj#selection-1521.0-1527.79', 'http://archive.is/HtRLT#selection-1709.0-1715.291', 'http://archive.is/g30x8', 'http://archive.is/Z4qAr#selection-2631.0-2631.213', 'http://archive.is/DjWyE#selection-1629.0-1647.103', 'http://archive.is/XGqYl']",http://archive.is/tUlCA,1,Manuel
https://www.snopes.com/fact-check/girl-disconnect-life-support-plug-in-charger/,a young girl disconnected her grandfather's life support in order to charge her mobile phone.,false,"['buzzflare', 'cell phones', 'el mundo today', 'Elite Readers', 'Ideas Fun', 'Rachfeed', 'satire', 'spain', 'The Alternative Mind', 'Tribunnews.com']",2017/11/01,Dan Evon,"['http://www.thealternativemind.net/2017/10/young-girl-disconnects-her-grandpas.html', 'https://archive.is/EUuF6', 'https://archive.is/XLHhS', 'https://archive.is/4MYCl', 'https://archive.is/FeZdy', 'https://archive.is/rnE0b', 'https://archive.is/PFBku', 'https://archive.is/aAmuy']",https://archive.is/aAmuy,2,Manuel
https://www.snopes.com/fact-check/girl-disconnect-life-support-plug-in-charger/,a young girl disconnected her grandfather's life support in order to charge her mobile phone.,false,"['buzzflare', 'cell phones', 'el mundo today', 'Elite Readers', 'Ideas Fun', 'Rachfeed', 'satire', 'spain', 'The Alternative Mind', 'Tribunnews.com']",2017/11/01,Dan Evon,"['http://www.thealternativemind.net/2017/10/young-girl-disconnects-her-grandpas.html', 'https://archive.is/EUuF6', 'https://archive.is/XLHhS', 'https://archive.is/4MYCl', 'https://archive.is/FeZdy', 'https://archive.is/rnE0b', 'https://archive.is/PFBku', 'https://archive.is/aAmuy']",https://archive.is/XLHhS,1,Manuel
https://www.snopes.com/fact-check/tilapia-mutant-fish/,"tilapia is a boneless, skinless, ""mutant"" fish that is full of cancer-causing dioxins, is worse to eat than bacon or hamburger, and is killing our families.",mostly false,"['bad science memes', 'fish', 'tilapia']",2018/04/12,David Emery,"['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2702431/', 'https://draxe.com/eating-tilapia-is-worse-than-eating-bacon/', 'https://web.archive.org/web/20081120163448/http://www.sanfordhealth.org/VisitorsPatients/HealthResources/HealthArticles/', 'https://www.indiamart.com/proddetail/tilapia-fish-15888048848.html', 'http://helterskeletons.com/tilapia/', 'https://www.seafoodhealthfacts.org/description-top-commercial-seafood-items/tilapia', 'https://www.health.harvard.edu/newsletter_article/Flap_over_tilapia_sends_the_wrong_message']",https://www.seafoodhealthfacts.org/description-top-commercial-seafood-items/tilapia,2,Manuel
