>>lucas | Wed 19 Feb, 13:11:31<->Wed 19 Feb, 13:13:14 | total time:1.72 mins | 
 | Avg. Speed: 0.86 Min/Ann | Conformity: 0.24 | #Ann:2

>>lucas | Wed 19 Feb, 13:39:46<->Wed 19 Feb, 13:39:46 | total time:0.00 mins | 
 | Avg. Speed: 0.00 Min/Ann | Conformity: 0.76 | #Ann:1

>>lucas | Wed 19 Feb, 14:18:27<->Wed 19 Feb, 14:19:38 | total time:1.18 mins | 
 | Avg. Speed: 0.59 Min/Ann | Conformity: 0.24 | #Ann:2

>>lucas | Wed 19 Feb, 17:52:40<->Wed 19 Feb, 18:03:46 | total time:11.10 mins | 
 | Avg. Speed: 0.53 Min/Ann | Conformity: 0.20 | #Ann:21

>>lucas | Sun 23 Feb, 20:30:57<->Sun 23 Feb, 20:33:05 | total time:2.13 mins | 
 | Avg. Speed: 0.27 Min/Ann | Conformity: 0.38 | #Ann:8

>>lucas | Mon 24 Feb, 16:31:05<->Mon 24 Feb, 16:59:08 | total time:28.05 mins | 
 | Avg. Speed: 0.90 Min/Ann | Conformity: 0.46 | #Ann:31

>>lucas | Mon 24 Feb, 17:33:18<->Mon 24 Feb, 17:56:02 | total time:22.73 mins | 
 | Avg. Speed: 1.08 Min/Ann | Conformity: 0.61 | #Ann:21

>>lucas | Wed 26 Feb, 16:54:49<->Wed 26 Feb, 17:05:32 | total time:10.72 mins | 
 | Avg. Speed: 0.71 Min/Ann | Conformity: 0.56 | #Ann:15

>>lucas | Wed 26 Feb, 17:32:49<->Wed 26 Feb, 18:02:58 | total time:30.15 mins | 
 | Avg. Speed: 0.64 Min/Ann | Conformity: 0.54 | #Ann:47

>>lucas | Thu 27 Feb, 12:53:17<->Thu 27 Feb, 12:55:48 | total time:2.52 mins | 
 | Avg. Speed: 0.50 Min/Ann | Conformity: 0.56 | #Ann:5

>>lucas | Thu 27 Feb, 17:26:42<->Thu 27 Feb, 17:28:32 | total time:1.83 mins | 
 | Avg. Speed: 0.46 Min/Ann | Conformity: 0.76 | #Ann:4

>>lucas | Sun 01 Mar, 18:07:49<->Sun 01 Mar, 18:13:05 | total time:5.27 mins | 
 | Avg. Speed: 0.28 Min/Ann | Conformity: 0.70 | #Ann:19

>>lucas | Mon 02 Mar, 14:42:41<->Mon 02 Mar, 14:45:14 | total time:2.55 mins | 
 | Avg. Speed: 0.42 Min/Ann | Conformity: 0.42 | #Ann:6

