page,claim,verdict,tags,date,author,source_list,source_url,value,name
https://www.snopes.com/fact-check/man-arrested-finger-circle-officer/,"a man was arrested for showing an officer an ""a-ok"" hand sign during a traffic stop in an attempt to get the officer to play the ""finger circle"" game.",false,"['circle game', 'fake news', 'finger circle', 'huzlers']",2018/01/03,Dan Evon,"['https://www.urbandictionary.com/define.php?term=The%20Circle%20Game', 'https://archive.is/i3FXm#selection-3547.0-3547.86', 'https://www.huzlers.com/man-arrested-after-showing-officer-finger-circle-when-asked-for-his-license-registration/', 'http://clarksvillewtf.com/2011/12/clarksville-mugshots-man-up-edition/']",http://clarksvillewtf.com/2011/12/clarksville-mugshots-man-up-edition/,2,lucas
https://www.snopes.com/fact-check/man-arrested-finger-circle-officer/,"a man was arrested for showing an officer an ""a-ok"" hand sign during a traffic stop in an attempt to get the officer to play the ""finger circle"" game.",false,"['circle game', 'fake news', 'finger circle', 'huzlers']",2018/01/03,Dan Evon,"['https://www.urbandictionary.com/define.php?term=The%20Circle%20Game', 'https://archive.is/i3FXm#selection-3547.0-3547.86', 'https://www.huzlers.com/man-arrested-after-showing-officer-finger-circle-when-asked-for-his-license-registration/', 'http://clarksvillewtf.com/2011/12/clarksville-mugshots-man-up-edition/']",https://www.huzlers.com/man-arrested-after-showing-officer-finger-circle-when-asked-for-his-license-registration/,1,lucas
https://www.snopes.com/fact-check/2008-california-traffic-laws/,email lists new california traffic laws taking effect in 2008.,true.,['Traffic'],,David Mikkelson,"['http://www.leginfo.ca.gov/pub/07-08/bill/sen/sb_0051-0100/sb_67_bill_20071014_chaptered.html', 'http://www.leginfo.ca.gov/pub/07-08/bill/asm/ab_0301-0350/ab_321_bill_20071010_chaptered.html', 'http://www.leginfo.ca.gov/pub/07-08/bill/asm/ab_1551-1600/ab_1589_bill_20071010_chaptered.html', 'http://www.leginfo.ca.gov/pub/07-08/bill/sen/sb_0001-0050/sb_7_bill_20071010_chaptered.html', 'http://www.leginfo.ca.gov/pub/07-08/bill/asm/ab_0451-0500/ab_478_bill_20070926_chaptered.html', 'http://www.leginfo.ca.gov/pub/07-08/bill/asm/ab_0451-0500/ab_470_bill_20070720_chaptered.html', 'http://www.leginfo.ca.gov/pub/07-08/bill/asm/ab_0801-0850/ab_801_bill_20071005_chaptered.html', 'http://www.leginfo.ca.gov/pub/05-06/bill/sen/sb_1601-1650/sb_1613_bill_20060915_chaptered.html', 'http://www.dmv.ca.gov/cellularphonelaws/']",http://www.leginfo.ca.gov/pub/07-08/bill/asm/ab_0451-0500/ab_470_bill_20070720_chaptered.html,1,lucas
https://www.snopes.com/fact-check/google-doodle-ramadan-easter/,"there is an official google doodle commemorating ramadan, but not one for the holiday of easter.",mostly false,[''],2019/04/22,Dan Evon,"['https://www.google.com/doodles/about', 'https://www.google.com/doodles/diwali-2008', 'https://www.google.com/doodles/rosh-hashanah-2006', 'http://archive.fo/4rqlD', 'https://www.google.com/doodles/malaysia-national-day-2018', 'http://archive.fo/SFp9E', 'https://artsandculture.google.com/project/easter-traditions', 'http://archive.fo/RCK8X', 'https://www.al-kanz.org/2010/06/21/ramadan-doodle-google/', 'http://archive.fo/EN5Wh', 'https://www.google.com/doodles/mudik-2016', 'https://www.google.com/doodles/happy-easter-2000', 'http://archive.fo/rpGAl']",https://artsandculture.google.com/project/easter-traditions,2,lucas
https://www.snopes.com/fact-check/google-doodle-ramadan-easter/,"there is an official google doodle commemorating ramadan, but not one for the holiday of easter.",mostly false,[''],2019/04/22,Dan Evon,"['https://www.google.com/doodles/about', 'https://www.google.com/doodles/diwali-2008', 'https://www.google.com/doodles/rosh-hashanah-2006', 'http://archive.fo/4rqlD', 'https://www.google.com/doodles/malaysia-national-day-2018', 'http://archive.fo/SFp9E', 'https://artsandculture.google.com/project/easter-traditions', 'http://archive.fo/RCK8X', 'https://www.al-kanz.org/2010/06/21/ramadan-doodle-google/', 'http://archive.fo/EN5Wh', 'https://www.google.com/doodles/mudik-2016', 'https://www.google.com/doodles/happy-easter-2000', 'http://archive.fo/rpGAl']",https://www.google.com/doodles/mudik-2016,2,lucas
https://www.snopes.com/fact-check/google-doodle-ramadan-easter/,"there is an official google doodle commemorating ramadan, but not one for the holiday of easter.",mostly false,[''],2019/04/22,Dan Evon,"['https://www.google.com/doodles/about', 'https://www.google.com/doodles/diwali-2008', 'https://www.google.com/doodles/rosh-hashanah-2006', 'http://archive.fo/4rqlD', 'https://www.google.com/doodles/malaysia-national-day-2018', 'http://archive.fo/SFp9E', 'https://artsandculture.google.com/project/easter-traditions', 'http://archive.fo/RCK8X', 'https://www.al-kanz.org/2010/06/21/ramadan-doodle-google/', 'http://archive.fo/EN5Wh', 'https://www.google.com/doodles/mudik-2016', 'https://www.google.com/doodles/happy-easter-2000', 'http://archive.fo/rpGAl']",https://www.google.com/doodles/happy-easter-2000,2,lucas
https://www.snopes.com/fact-check/google-doodle-ramadan-easter/,"there is an official google doodle commemorating ramadan, but not one for the holiday of easter.",mostly false,[''],2019/04/22,Dan Evon,"['https://www.google.com/doodles/about', 'https://www.google.com/doodles/diwali-2008', 'https://www.google.com/doodles/rosh-hashanah-2006', 'http://archive.fo/4rqlD', 'https://www.google.com/doodles/malaysia-national-day-2018', 'http://archive.fo/SFp9E', 'https://artsandculture.google.com/project/easter-traditions', 'http://archive.fo/RCK8X', 'https://www.al-kanz.org/2010/06/21/ramadan-doodle-google/', 'http://archive.fo/EN5Wh', 'https://www.google.com/doodles/mudik-2016', 'https://www.google.com/doodles/happy-easter-2000', 'http://archive.fo/rpGAl']",https://www.google.com/doodles/about,2,lucas
https://www.snopes.com/fact-check/google-doodle-ramadan-easter/,"there is an official google doodle commemorating ramadan, but not one for the holiday of easter.",mostly false,[''],2019/04/22,Dan Evon,"['https://www.google.com/doodles/about', 'https://www.google.com/doodles/diwali-2008', 'https://www.google.com/doodles/rosh-hashanah-2006', 'http://archive.fo/4rqlD', 'https://www.google.com/doodles/malaysia-national-day-2018', 'http://archive.fo/SFp9E', 'https://artsandculture.google.com/project/easter-traditions', 'http://archive.fo/RCK8X', 'https://www.al-kanz.org/2010/06/21/ramadan-doodle-google/', 'http://archive.fo/EN5Wh', 'https://www.google.com/doodles/mudik-2016', 'https://www.google.com/doodles/happy-easter-2000', 'http://archive.fo/rpGAl']",https://www.google.com/doodles/rosh-hashanah-2006,2,lucas
https://www.snopes.com/fact-check/google-doodle-ramadan-easter/,"there is an official google doodle commemorating ramadan, but not one for the holiday of easter.",mostly false,[''],2019/04/22,Dan Evon,"['https://www.google.com/doodles/about', 'https://www.google.com/doodles/diwali-2008', 'https://www.google.com/doodles/rosh-hashanah-2006', 'http://archive.fo/4rqlD', 'https://www.google.com/doodles/malaysia-national-day-2018', 'http://archive.fo/SFp9E', 'https://artsandculture.google.com/project/easter-traditions', 'http://archive.fo/RCK8X', 'https://www.al-kanz.org/2010/06/21/ramadan-doodle-google/', 'http://archive.fo/EN5Wh', 'https://www.google.com/doodles/mudik-2016', 'https://www.google.com/doodles/happy-easter-2000', 'http://archive.fo/rpGAl']",https://www.google.com/doodles/malaysia-national-day-2018,2,lucas
https://www.snopes.com/fact-check/google-doodle-ramadan-easter/,"there is an official google doodle commemorating ramadan, but not one for the holiday of easter.",mostly false,[''],2019/04/22,Dan Evon,"['https://www.google.com/doodles/about', 'https://www.google.com/doodles/diwali-2008', 'https://www.google.com/doodles/rosh-hashanah-2006', 'http://archive.fo/4rqlD', 'https://www.google.com/doodles/malaysia-national-day-2018', 'http://archive.fo/SFp9E', 'https://artsandculture.google.com/project/easter-traditions', 'http://archive.fo/RCK8X', 'https://www.al-kanz.org/2010/06/21/ramadan-doodle-google/', 'http://archive.fo/EN5Wh', 'https://www.google.com/doodles/mudik-2016', 'https://www.google.com/doodles/happy-easter-2000', 'http://archive.fo/rpGAl']",https://www.al-kanz.org/2010/06/21/ramadan-doodle-google/,3,lucas
