page,claim,verdict,tags,date,author,source_list,source_url,value,name
https://www.snopes.com/fact-check/did-pope-francis-cancel-the-bible/,pope francis cancelled the bible and proposed the creation of a new holy book.,false,"['bible', 'catholic church', 'catholicism', 'pope francis', 'there is news']",2018/04/09,Dan Evon,"['https://www.cnn.com/2015/01/19/living/pope-said-what/index.html', 'https://www.usatoday.com/story/news/world/2014/01/20/pope-goes-kosher/4668815/', 'https://archive.li/SQOdA', 'https://archive.li/ZqD5w', 'https://www.gettyimages.com/photos/pope-francis-yad-vashem?groupbyevent=true&family=editorial&phrase=pope%20francis%20yad%20vashem&sort=mostpopular#license']",https://archive.li/ZqD5w,2,MartinSerrano
https://www.snopes.com/fact-check/did-pope-francis-cancel-the-bible/,pope francis cancelled the bible and proposed the creation of a new holy book.,false,"['bible', 'catholic church', 'catholicism', 'pope francis', 'there is news']",2018/04/09,Dan Evon,"['https://www.cnn.com/2015/01/19/living/pope-said-what/index.html', 'https://www.usatoday.com/story/news/world/2014/01/20/pope-goes-kosher/4668815/', 'https://archive.li/SQOdA', 'https://archive.li/ZqD5w', 'https://www.gettyimages.com/photos/pope-francis-yad-vashem?groupbyevent=true&family=editorial&phrase=pope%20francis%20yad%20vashem&sort=mostpopular#license']",https://www.gettyimages.com/photos/pope-francis-yad-vashem?groupbyevent=true&family=editorial&phrase=pope%20francis%20yad%20vashem&sort=mostpopular#license,3,MartinSerrano
https://www.snopes.com/fact-check/did-pope-francis-cancel-the-bible/,pope francis cancelled the bible and proposed the creation of a new holy book.,false,"['bible', 'catholic church', 'catholicism', 'pope francis', 'there is news']",2018/04/09,Dan Evon,"['https://www.cnn.com/2015/01/19/living/pope-said-what/index.html', 'https://www.usatoday.com/story/news/world/2014/01/20/pope-goes-kosher/4668815/', 'https://archive.li/SQOdA', 'https://archive.li/ZqD5w', 'https://www.gettyimages.com/photos/pope-francis-yad-vashem?groupbyevent=true&family=editorial&phrase=pope%20francis%20yad%20vashem&sort=mostpopular#license']",https://www.usatoday.com/story/news/world/2014/01/20/pope-goes-kosher/4668815/,2,MartinSerrano
https://www.snopes.com/fact-check/did-pope-francis-cancel-the-bible/,pope francis cancelled the bible and proposed the creation of a new holy book.,false,"['bible', 'catholic church', 'catholicism', 'pope francis', 'there is news']",2018/04/09,Dan Evon,"['https://www.cnn.com/2015/01/19/living/pope-said-what/index.html', 'https://www.usatoday.com/story/news/world/2014/01/20/pope-goes-kosher/4668815/', 'https://archive.li/SQOdA', 'https://archive.li/ZqD5w', 'https://www.gettyimages.com/photos/pope-francis-yad-vashem?groupbyevent=true&family=editorial&phrase=pope%20francis%20yad%20vashem&sort=mostpopular#license']",https://www.cnn.com/2015/01/19/living/pope-said-what/index.html,2,MartinSerrano
https://www.snopes.com/fact-check/2008-california-traffic-laws/,email lists new california traffic laws taking effect in 2008.,true.,['Traffic'],,David Mikkelson,"['http://www.leginfo.ca.gov/pub/07-08/bill/sen/sb_0051-0100/sb_67_bill_20071014_chaptered.html', 'http://www.leginfo.ca.gov/pub/07-08/bill/asm/ab_0301-0350/ab_321_bill_20071010_chaptered.html', 'http://www.leginfo.ca.gov/pub/07-08/bill/asm/ab_1551-1600/ab_1589_bill_20071010_chaptered.html', 'http://www.leginfo.ca.gov/pub/07-08/bill/sen/sb_0001-0050/sb_7_bill_20071010_chaptered.html', 'http://www.leginfo.ca.gov/pub/07-08/bill/asm/ab_0451-0500/ab_478_bill_20070926_chaptered.html', 'http://www.leginfo.ca.gov/pub/07-08/bill/asm/ab_0451-0500/ab_470_bill_20070720_chaptered.html', 'http://www.leginfo.ca.gov/pub/07-08/bill/asm/ab_0801-0850/ab_801_bill_20071005_chaptered.html', 'http://www.leginfo.ca.gov/pub/05-06/bill/sen/sb_1601-1650/sb_1613_bill_20060915_chaptered.html', 'http://www.dmv.ca.gov/cellularphonelaws/']",http://www.leginfo.ca.gov/pub/07-08/bill/asm/ab_0801-0850/ab_801_bill_20071005_chaptered.html,1,MartinSerrano
https://www.snopes.com/fact-check/did-man-receive-153000-bill-rattlesnake/,"a man received a $153,000 hospital bill after a bite he sustained from a rattlesnake that he was attempting to take a selfie with.",true,"['healthcare', 'insurance', 'Medical', 'snake', 'snake bite']",2018/04/27,Alex Kasprak,"['https://time.com/2897/north-carolina-hospital-bill-snake-bite/', 'https://emedicine.medscape.com/article/771455-workup', 'https://web.archive.org/web/20160331220111/http://www.10news.com:80/news/mans-ordeal-stirs-debate-on-cost-of-treating-rattlesnake-bites', 'https://www.ncbi.nlm.nih.gov/pubmed/15942342', 'https://www.nbcwashington.com/news/local/Snake-Bite-Victim-Gets-55K-Hospital-Bill-218891991.html', 'https://www.cbsnews.com/news/rattlesnake-selfie-results-in-a-153k-medical-bill/', 'https://www.washingtonpost.com/news/wonk/wp/2015/07/20/this-153000-rattlesnake-bite-is-everything-wrong-with-american-health-care/?utm_term=.11f92a7af1dc']",https://www.cbsnews.com/news/rattlesnake-selfie-results-in-a-153k-medical-bill/,1,MartinSerrano
https://www.snopes.com/fact-check/trump-subscription-box/,"in may 2017 president trump launched a monthly ""big league box"" subscription for campaign merchandise.",true,"['big league boxes', 'donald trump', 'subscription boxes']",2017/05/31,Kim LaCapria,"['https://donate.donaldjtrump.com/big-league-box-49?amount=49&utm_medium=Email&utm_source=ET_80&utm_campaign=20170529_432_BIg-League-Box_DonaldJTrumpCom_JFC&utm_content=GOP_Direct-Ask&additional%5Butm_content%5D=GOP_Direct-Ask_Text-Ask-1', 'https://t.co/41zUCxAlYA']",https://donate.donaldjtrump.com/big-league-box-49?amount=49&utm_medium=Email&utm_source=ET_80&utm_campaign=20170529_432_BIg-League-Box_DonaldJTrumpCom_JFC&utm_content=GOP_Direct-Ask&additional%5Butm_content%5D=GOP_Direct-Ask_Text-Ask-1,2,MartinSerrano
https://www.snopes.com/fact-check/trump-subscription-box/,"in may 2017 president trump launched a monthly ""big league box"" subscription for campaign merchandise.",true,"['big league boxes', 'donald trump', 'subscription boxes']",2017/05/31,Kim LaCapria,"['https://donate.donaldjtrump.com/big-league-box-49?amount=49&utm_medium=Email&utm_source=ET_80&utm_campaign=20170529_432_BIg-League-Box_DonaldJTrumpCom_JFC&utm_content=GOP_Direct-Ask&additional%5Butm_content%5D=GOP_Direct-Ask_Text-Ask-1', 'https://t.co/41zUCxAlYA']",https://t.co/41zUCxAlYA,1,MartinSerrano
https://www.snopes.com/fact-check/did-obama-administration-children-human-traffickers/,some immigrant children were placed with human traffickers during the obama administration.,true,"['immigrant children', 'immigration', 'trump administration', 'zero tolerance']",2018/06/20,Bethania Palma,"['https://archive.fo/rrnKf', 'https://archive.fo/hNE3p', 'https://wtkr.com/2018/06/16/doctors-saw-immigrant-kids-separated-from-their-parents-now-theyre-trying-to-stop-it/', 'https://www.washingtonpost.com/national/obama-administration-placed-children-with-human-traffickers-report-says/2016/01/28/39465050-c542-11e5-9693-933a4d31bcc8_story.html?utm_term=.4d26c10fca34', 'https://www.cnn.com/2018/06/12/us/immigration-separated-children-southern-border/index.html', 'https://archive.fo/AZz7d', 'https://www.propublica.org/article/children-separated-from-parents-border-patrol-cbp-trump-immigration-policy', 'https://www.marionstar.com/story/news/local/2018/04/23/pbs-air-film-investigating-labor-trafficking-ring-marion-county/542277002/', 'https://www.azcentral.com/story/news/politics/border-issues/2018/04/07/attorney-general-jeff-sessions-announces-new-illegal-immigration-policy/496190002/', 'https://rationalwiki.org/wiki/Whataboutism', 'https://www.justice.gov/opa/pr/leader-human-trafficking-organization-sentenced-over-15-years-exploiting-guatemalan-migrants', 'https://www.washingtonpost.com/news/post-nation/wp/2018/06/16/america-is-better-than-this-what-a-doctor-saw-in-a-texas-shelter-for-migrant-children/?utm_term=.a860ecbf9401', 'https://apnews.com/6e04c6ee01dd46669eddba9d3333f6d5']",https://www.azcentral.com/story/news/politics/border-issues/2018/04/07/attorney-general-jeff-sessions-announces-new-illegal-immigration-policy/496190002/,2,MartinSerrano
https://www.snopes.com/fact-check/did-obama-administration-children-human-traffickers/,some immigrant children were placed with human traffickers during the obama administration.,true,"['immigrant children', 'immigration', 'trump administration', 'zero tolerance']",2018/06/20,Bethania Palma,"['https://archive.fo/rrnKf', 'https://archive.fo/hNE3p', 'https://wtkr.com/2018/06/16/doctors-saw-immigrant-kids-separated-from-their-parents-now-theyre-trying-to-stop-it/', 'https://www.washingtonpost.com/national/obama-administration-placed-children-with-human-traffickers-report-says/2016/01/28/39465050-c542-11e5-9693-933a4d31bcc8_story.html?utm_term=.4d26c10fca34', 'https://www.cnn.com/2018/06/12/us/immigration-separated-children-southern-border/index.html', 'https://archive.fo/AZz7d', 'https://www.propublica.org/article/children-separated-from-parents-border-patrol-cbp-trump-immigration-policy', 'https://www.marionstar.com/story/news/local/2018/04/23/pbs-air-film-investigating-labor-trafficking-ring-marion-county/542277002/', 'https://www.azcentral.com/story/news/politics/border-issues/2018/04/07/attorney-general-jeff-sessions-announces-new-illegal-immigration-policy/496190002/', 'https://rationalwiki.org/wiki/Whataboutism', 'https://www.justice.gov/opa/pr/leader-human-trafficking-organization-sentenced-over-15-years-exploiting-guatemalan-migrants', 'https://www.washingtonpost.com/news/post-nation/wp/2018/06/16/america-is-better-than-this-what-a-doctor-saw-in-a-texas-shelter-for-migrant-children/?utm_term=.a860ecbf9401', 'https://apnews.com/6e04c6ee01dd46669eddba9d3333f6d5']",https://www.cnn.com/2018/06/12/us/immigration-separated-children-southern-border/index.html,2,MartinSerrano
