page,claim,verdict,tags,date,author,source_list,source_url,value,name
https://www.snopes.com/fact-check/drunk-man-has-sex-with-snowman/,an habitual alcohol abuser lost his penis to frostbite after a drunken sexual encounter with a snowman.,false,"['fake news', 'sex', 'snowman', 'sunday sport', 'the frisky', 'thug life videos', 'uproxx']",2016/12/15,Kim LaCapria,"['https://en.wikipedia.org/wiki/Sunday_Sport', 'http://archive.is/4QuvE', 'https://en.wikipedia.org/wiki/Weekly_World_News', 'https://www.pressreader.com/uk/sunday-sport/20130120/281719791946133', 'http://931jackfm.cbslocal.com/2013/01/24/meanwhile-in-england-drunk-man-suffers-from-frostbite-after-trying-to-have-sex-with-a-snowman/']",https://www.pressreader.com/uk/sunday-sport/20130120/281719791946133,1,utku
https://www.snopes.com/fact-check/bernie-sanders-evil-billionaire/,"u.s. sen. bernie sanders called businessman robert f. smith an ""evil billionaire"" and criticized him for donating money to graduating college students, rather than the federal government.",false,[''],2019/05/23,Dan MacGuill,"['https://www.sanders.senate.gov/download/collegeforall/?inline=file', 'http://archive.is/aRcwo', 'http://archive.is/tO7sH', 'http://archive.is/jNWKE', 'http://archive.is/y0E24', 'http://archive.is/YJhRI']",http://archive.is/YJhRI,1,utku
https://www.snopes.com/fact-check/bernie-sanders-evil-billionaire/,"u.s. sen. bernie sanders called businessman robert f. smith an ""evil billionaire"" and criticized him for donating money to graduating college students, rather than the federal government.",false,[''],2019/05/23,Dan MacGuill,"['https://www.sanders.senate.gov/download/collegeforall/?inline=file', 'http://archive.is/aRcwo', 'http://archive.is/tO7sH', 'http://archive.is/jNWKE', 'http://archive.is/y0E24', 'http://archive.is/YJhRI']",http://archive.is/YJhRI,1,utku
https://www.snopes.com/fact-check/bernie-sanders-evil-billionaire/,"u.s. sen. bernie sanders called businessman robert f. smith an ""evil billionaire"" and criticized him for donating money to graduating college students, rather than the federal government.",false,[''],2019/05/23,Dan MacGuill,"['https://www.sanders.senate.gov/download/collegeforall/?inline=file', 'http://archive.is/aRcwo', 'http://archive.is/tO7sH', 'http://archive.is/jNWKE', 'http://archive.is/y0E24', 'http://archive.is/YJhRI']",http://archive.is/aRcwo,1,utku
https://www.snopes.com/fact-check/bernie-sanders-evil-billionaire/,"u.s. sen. bernie sanders called businessman robert f. smith an ""evil billionaire"" and criticized him for donating money to graduating college students, rather than the federal government.",false,[''],2019/05/23,Dan MacGuill,"['https://www.sanders.senate.gov/download/collegeforall/?inline=file', 'http://archive.is/aRcwo', 'http://archive.is/tO7sH', 'http://archive.is/jNWKE', 'http://archive.is/y0E24', 'http://archive.is/YJhRI']",http://archive.is/y0E24,1,utku
https://www.snopes.com/fact-check/bernie-sanders-evil-billionaire/,"u.s. sen. bernie sanders called businessman robert f. smith an ""evil billionaire"" and criticized him for donating money to graduating college students, rather than the federal government.",false,[''],2019/05/23,Dan MacGuill,"['https://www.sanders.senate.gov/download/collegeforall/?inline=file', 'http://archive.is/aRcwo', 'http://archive.is/tO7sH', 'http://archive.is/jNWKE', 'http://archive.is/y0E24', 'http://archive.is/YJhRI']",http://archive.is/tO7sH,2,utku
https://www.snopes.com/fact-check/bernie-sanders-evil-billionaire/,"u.s. sen. bernie sanders called businessman robert f. smith an ""evil billionaire"" and criticized him for donating money to graduating college students, rather than the federal government.",false,[''],2019/05/23,Dan MacGuill,"['https://www.sanders.senate.gov/download/collegeforall/?inline=file', 'http://archive.is/aRcwo', 'http://archive.is/tO7sH', 'http://archive.is/jNWKE', 'http://archive.is/y0E24', 'http://archive.is/YJhRI']",http://archive.is/jNWKE,1,utku
https://www.snopes.com/fact-check/did-shooters-instagram-picture-maga-hat/,"an instagram account linked to suspected shooter nikolas cruz featured an avatar that included a ""maga"" hat.",true,"['donald trump', 'maga', 'mass shooting', 'nikolas cruz', 'parkland', 'school shooting']",2018/02/15,Dan Evon,"['https://www.thedailybeast.com/nick-cruz-parkland-florida-shooting-stoneman-douglas-high-school?ref=scroll', 'https://heavy.com/news/2018/02/nikolas-cruz-maga-nikolaus-trump-politics-democrat-republican/', 'https://archive.is/tap37', 'http://www.makarov.com', 'https://www.nbcnews.com/news/us-news/today-was-different-florida-high-school-teacher-describes-confusion-then-n848221', 'https://heavy.com/news/2018/02/nikolas-cruz-florida-instagram-nicolas-nicholas-social-media/', 'https://web.archive.org/web/20180214215135/instagram.com/nikolascruzmakarov/', 'https://archive.is/xUDPd', 'https://web.archive.org/web/20180214212957/https://www.instagram.com/cruz_nikolas/']",https://archive.is/xUDPd,1,utku
https://www.snopes.com/fact-check/did-shooters-instagram-picture-maga-hat/,"an instagram account linked to suspected shooter nikolas cruz featured an avatar that included a ""maga"" hat.",true,"['donald trump', 'maga', 'mass shooting', 'nikolas cruz', 'parkland', 'school shooting']",2018/02/15,Dan Evon,"['https://www.thedailybeast.com/nick-cruz-parkland-florida-shooting-stoneman-douglas-high-school?ref=scroll', 'https://heavy.com/news/2018/02/nikolas-cruz-maga-nikolaus-trump-politics-democrat-republican/', 'https://archive.is/tap37', 'http://www.makarov.com', 'https://www.nbcnews.com/news/us-news/today-was-different-florida-high-school-teacher-describes-confusion-then-n848221', 'https://heavy.com/news/2018/02/nikolas-cruz-florida-instagram-nicolas-nicholas-social-media/', 'https://web.archive.org/web/20180214215135/instagram.com/nikolascruzmakarov/', 'https://archive.is/xUDPd', 'https://web.archive.org/web/20180214212957/https://www.instagram.com/cruz_nikolas/']",http://www.makarov.com,2,utku
https://www.snopes.com/fact-check/did-shooters-instagram-picture-maga-hat/,"an instagram account linked to suspected shooter nikolas cruz featured an avatar that included a ""maga"" hat.",true,"['donald trump', 'maga', 'mass shooting', 'nikolas cruz', 'parkland', 'school shooting']",2018/02/15,Dan Evon,"['https://www.thedailybeast.com/nick-cruz-parkland-florida-shooting-stoneman-douglas-high-school?ref=scroll', 'https://heavy.com/news/2018/02/nikolas-cruz-maga-nikolaus-trump-politics-democrat-republican/', 'https://archive.is/tap37', 'http://www.makarov.com', 'https://www.nbcnews.com/news/us-news/today-was-different-florida-high-school-teacher-describes-confusion-then-n848221', 'https://heavy.com/news/2018/02/nikolas-cruz-florida-instagram-nicolas-nicholas-social-media/', 'https://web.archive.org/web/20180214215135/instagram.com/nikolascruzmakarov/', 'https://archive.is/xUDPd', 'https://web.archive.org/web/20180214212957/https://www.instagram.com/cruz_nikolas/']",https://web.archive.org/web/20180214215135/instagram.com/nikolascruzmakarov/,2,utku
https://www.snopes.com/fact-check/did-shooters-instagram-picture-maga-hat/,"an instagram account linked to suspected shooter nikolas cruz featured an avatar that included a ""maga"" hat.",true,"['donald trump', 'maga', 'mass shooting', 'nikolas cruz', 'parkland', 'school shooting']",2018/02/15,Dan Evon,"['https://www.thedailybeast.com/nick-cruz-parkland-florida-shooting-stoneman-douglas-high-school?ref=scroll', 'https://heavy.com/news/2018/02/nikolas-cruz-maga-nikolaus-trump-politics-democrat-republican/', 'https://archive.is/tap37', 'http://www.makarov.com', 'https://www.nbcnews.com/news/us-news/today-was-different-florida-high-school-teacher-describes-confusion-then-n848221', 'https://heavy.com/news/2018/02/nikolas-cruz-florida-instagram-nicolas-nicholas-social-media/', 'https://web.archive.org/web/20180214215135/instagram.com/nikolascruzmakarov/', 'https://archive.is/xUDPd', 'https://web.archive.org/web/20180214212957/https://www.instagram.com/cruz_nikolas/']",https://heavy.com/news/2018/02/nikolas-cruz-maga-nikolaus-trump-politics-democrat-republican/,1,utku
