page	claim	claim_label	tags	claim_source_domain	claim_source_url	date_check	source_body	date_fake	dataset
http://www.emergent.info/apple-tv-hbo-now	Claim: HBO Now streaming subscription is coming to Apple TV	true	['Apple TV', 'HBO', 'International Business Times', 'Michael Learmonth']	http://www.ibtimes.com/	http://www.ibtimes.com/hbo-talks-apple-be-launch-partner-coming-web-service-hbo-now-exclusive-1835882	2015/03/04	"By Michael Learmonth @learmonth03/04/15 AT 2:28 PMGeorge R.R. Martin teased that some of the characters still alive in the books will die in ""Game of Thrones"" Season 5. Photo: Facebook/Game of ThronesHBO is in talks with Apple to make Apple TV a launch partner for its highly anticipated streaming service when it debuts next month. HBO and streaming partner Major League Baseball Advanced Media are working to have the standalone service, called “HBO Now,” ready to launch in April in conjunction with the premiere of the fifth season of “Game of Thrones,” according to sources familiar with the plan.When it launches, consumers will be able to subscribe to HBO Now directly from HBO for the first time, rather than through a cable, satellite or telco TV distributor such as Comcast or Verizon. The retail price is expected to be $15 a month when purchased directly from HBO, or about what consumers pay when they order HBO through their cable, satellite or telco provider.HBO’s corporate parent, Time Warner Inc., will rely on a whole new line of distributors (e.g., Apple TV, Roku, Xbox, PlayStation, Amazon, etc.) to help market HBO Now to an estimated 10 million U.S. broadband subscribers who do not pay for a cable TV bundle. CEO Jeff Bewkes has said the offering could also help reach some of the 70 million cable TV subscribers who do not subscribe to HBO but might if given the opportunity to subscribe online.HBO’s over-the-top service has been cast as the biggest challenge yet to the so-called cable bundle, in which consumers are required to buy packages of channels, some of which they may never watch. One study claimed the service would lead to a 7 percent drop in pay TV subscriptions , as users opt out of cable and opt in to HBO Now.Some cable providers, however, such as Cablevision and Cox Communications, have expressed interest in bundling HBO Now with broadband for their own subscribers who don’t get cable TV.Apple has been most aggressive in courting HBO in a bid to add the service to Apple TV, sources say. Apple TV already carries HBO Go for current HBO subscribers, but it may add a second app for HBO Now. Apple has spent the past several years negotiating for the rights to offer its own linear TV package; in the meantime, HBO Now is seen as an added service to drive adoption of Apple TV.While HBO has not confirmed a launch date for HBO Now, internally the target is an April launch, in time for the April 12 debut of “Game of Thrones.” That’s an aggressive time frame for Major League Baseball Advanced Media, which is building the back end along with a new front end separate from HBO Go. HBO is taking care not to launch HBO Now before it can guarantee that the service will work without some of the technical glitches that plagued HBO Go during last year's debut of cult-fave ""Game of Thrones.""The launch of HBO Now will be a milestone for Time Warner’s premium TV channel, which has for most of its 42-year history been distributed as an add-on to a package of cable channels. The Web service will allow HBO to sign on a new group of distribution partners, which it sees as no different than when it added satellite TV and, later, telcos such as Verizon and AT&T.Each of those distributors pays a wholesale price for HBO and then resells it to consumers for anywhere from $13 to $18 a month. Most see HBO as a retention device; those who subscribe are less likely to drop service or switch providers. HBO and Time Warner declined to comment.At $15 a month, HBO Now will be significantly more expensive than Netflix, which ranges from $8 to $12 a month for various levels of service, but cheaper than some were predicting. HBO makes the case that it has more original programming than Netflix and a better, more current film library. “It’s a premium product, and it will be priced accordingly,” HBO CEO Richard Plepler said during a Time Warner earnings call in February.HBO’s push to launch HBO Now comes after years of talking about launching an over-the-top service that bypasses traditional cable TV. Understandably, it has been met with some resistance from current distributors, including Time Warner Cable and Comcast, two companies in the midst of a $46 billion merger, according to sources.HBO, of course, heard the same misgivings from cable companies when it first added satellite TV providers and then telcos as distributors. HBO’s strategy is to give early partners a pricing advantage over newer ones; it’s unclear how this will go over with Apple, which has a track record of squeezing advantageous deals out of media, including the 99-cent single more than a decade ago.Bewkes said in December that he saw “cord-cutting” accelerate as pay TV providers dropped subscribers. U.S. pay TV providers lost 125,000 subscribers in 2014, according to Leichtman Research Group. At the same time, HBO and Cinemax reported their highest number of new subscribers (2.8 million) in 30 years.Among the challenges HBO faces to get HBO Now launched is how to avoid confusion with HBO Go, the service that allows HBO’s cable TV subscribers to access it on the Web, smartphones and tablets. The two services will have separate log-in pages and separate apps, but some cable execs are concerned about customer confusion. The explanation might challenge even the best call center employee: HBO Go is for TV subscribers to watch their content on devices; HBO Now for those who don’t subscribe via TV.​Stay up to date with our daily newsletterRelated Stories"	2015/03/04	emergent
http://www.emergent.info/there-can-only-be-one-kim-jong-un	Claim: North Korea issued a directive that anyone with the name Kim Jong Un must change it	unverified	['Kim Jong Un', 'North Korea']	http://www.theguardian.com/	http://www.theguardian.com/world/2014/dec/03/kim-jong-un-north-korea-name-ban	2014/12/04	Kim Jong-unNorth Korea directive reveals apparent ban on sharing Kim Jong-un’s nameOfficials ordered to make citizens named after leader change their names, according to document obtained by South Korean TVAgence France-Presse in SeoulWed 3 Dec 2014 09.06 GMTFirst published on Wed 3 Dec 2014 08.06 GMTShare via EmailThis article is over 4 years oldThe document said officials were directed to reject birth certificates for any newborns named Kim Jong-un. Photograph: Kcna/ReutersA year before North Korean leader Kim Jong-un came to power, a directive was issued for anyone sharing his name to change it – maintaining a tradition upheld by the reclusive state’s ruling Kim dynasty, a report said.An internal state document obtained by South Korea’s KBS TV station contains an “administrative order” from then leader Kim Jong-il for all party, army and police officials to ensure the directive was carried out. The order was issued in January 2011, shortly after Kim Jong-un had been anointed as his father’s successor. Kim Jong-il died in December of the same year.“All party organs and public security authorities should make a list of residents named Kim Jong-un … and train them to voluntarily change their names,” said the document, extracts of which were aired by KBS on Tuesday.The process involved revising names on official documents, including social security cards and school diplomas. Officials were also directed to reject birth certificates for any newborns named Kim Jong-un.“Authorities should make sure that there is no one making unnecessary complaints or spreading gossip … regarding this project,” it added.The authenticity of the official directive could not be independently verified, and Seoul’s unification ministry declined to comment on whether it was genuine.But one government official noted that the Pyongyang regime was known to have banned citizens sharing the names of founding president Kim Il-sung and his son, Kim Jong-il.“Given the North maintained the policy under the two previous leaders, there is a possibility that it would continue to do so now,” the official said.The Kim dynasty has ruled North Korea for more than six decades with an iron fist and pervasive personality cult.Park Jin-hee, a North Korean defector working for KBS who obtained the document, said she was sure the 2011 directive had been effectively enforced.“There is no one in the North named Kim Il-sung and Kim Jong-il, and there is no doubt the same rule applies for Jong-un,” Park, who defected in 2008, said.Topics	2014/12/03	emergent
http://www.emergent.info/magic-mushrooms-buckingham-palace	Claim: Magic mushrooms were found in a Buckingham Palace garden	unverified	['Buckingham Palace']	http://www.thesun.co.uk/	http://www.thesun.co.uk/sol/homepage/news/6176017/EXCLUSIVE-TV-gardener-Alan-Titchmarsh-finds-magic-mushrooms-at-Buckingham-palace.html	2014/12/14	'GET ME OUT OF HERE'Donald Trump walks off G20 stage before leaders’ group photo and is then caught…00:53Noel Edmonds explains spat with Holly Willoughby and Phillip Schofield but says he’s hugged…00:38Malique Thompson-Dwyer – the second to leave the I’m A Celebrity camp –…00:38Robbie Williams grabs Mark Owen’s crotch during Take That’s X Factor Final performance00:53'I JUST WON THE X FACTOR'Dalton Harris is crowned the winner of X Factor 2018 delighting mentor Louis Tomlinson02:12Scarlett Lee performs Your Song at The X Factor final00:33DIEG-KODiego Maradona swings at photographers in fit of rage after his team Dorados lose cup final02:01BREXIT BARNEYTony Blair will wreck Britain’s chance of a good Brexit deal with his pro-EU campaign,…01:12Holly Willoughby I’m A Celebrity fashion – Every outfit she’s worn to…00:37Dramatic moment cop saves woman who fell from a bridge into a freezing canal02:23Moment Chris Watts confesses to his dad that he murdered his pregnant wife Shannan, saying…01:19LITTLE HEROIncredible 999 call of brave four-year-old girl who rings for an ambulance when her mum has a seizure01:22The top 10 SECRET Google Maps locations you’re not allowed to see02:09The Nevada Triangle – The location near Area 51 where more than 2000 planes have vanished…Exclusive	2014/12/12	emergent
http://www.emergent.info/Apple-ship-20-million-Watches	Claim: Apple will sell 20 million Watches in 2015	unverified	['Apple Watch', 'Apple Watch Sales', 'Ben Wood', 'CSS Insight']	http://www.ccsinsight.com/	http://www.ccsinsight.com/press/company-news/2137-wearables-market-2015-is-year-that-will-make-or-break-the-smartwatch	2015/02/17	"17 February 2015: Sales of wearables will grow from 29 million in 2014 to 172 million in 2018, with a spike in 2015. The most popular devices will be smartwatches and fitness trackers. This is according to CCS Insight's latest global wearables forecast. The next 12 months will be a transformative year for the wearables market thanks to the arrival of the Apple Watch. This highly anticipated smartwatch will create a frenzy of demand, catapulting it almost instantaneously to be the most successful smartwatch ever. CCS Insight expects Apple to employ its full marketing arsenal and the power of its brand to create another must-have status symbol. CCS Insight projects Apple will account for a quarter of the wearables market in 2015, selling around 20 million Apple Watches by the end of the year. This is equivalent to about 7% of those who own a compatible iPhone at the time of the product's launch. The current love affair affluent US consumers have with the iPhone guarantees a strong start for the Apple Watch in its home market. However, if sales of the Apple Watch fail to meet expectations it could hurt the whole smartwatch market. Last year confirmed that North America will remain the biggest market for wearables in the near term. This region accounted for more than half of global sales in 2014 and that momentum continues in 2015. Commenting, Ben Wood, CCS Insight's Chief of Research, stated ""The Apple Watch will be instrumental in taking the wearables market to the next level of growth. If successful, it'll create a rising tide that will lift the whole market."" CCS Insight's consumer surveys indicate extremely high levels of awareness of wearable devices, but the challenge is translating this into sales. Wood continues, ""People without an iPhone will still have a huge choice of alternative wearables. If the Apple Watch performs as well as expected, its halo effect will result in a sales bonanza in the second half of 2015, with record-breaking shipments in the important fourth quarter."" While the Apple Watch will be in the spotlight this year, fitness bands from companies such as Fitbit and Jawbone will continue to dominate the wearables market, building on their explosive growth in 2014. CCS Insight analyst George Jijiashvili observes, ""We expect sales of fitness and activity devices to double in 2015 to 40 million units. In contrast to many other commentators, we don't believe smartwatches will dent sales of fitness products in the short term. Smart fitness devices do one thing and do it well: they measure activity with the goal of improving owners' well-being. This, combined with lower retail prices, longer battery life and a strong head start in terms of adoption, suggests that these devices will outperform smartwatches for several years to come."" Action cameras are a much-forgotten part of the wearables market. They were a central product in the market's early stages and remained the second-biggest category in 2014. Almost 6 million units were sold worldwide in 2014, buoyed by the success of market leader GoPro. Although CCS Insight predicts continued growth in the wearable camera segment boosted by more-affordable and capable products, the near-universal access to cameras on smartphones will limit total sales. Beyond the well-known brands and types of wearable device, CCS Insight has observed a steady flow of weird and wonderful new products that it defines as the ""long tail"" of wearables. This category includes smart clothing, intelligent shoes and insoles, jewellery, adhesive sensors and patches, and even sex toys. Many of these devices are developed as crowd-funded projects and few will succeed. They underline the fact that the wearables market is still in its early stages and despite the explosive growth it will be dwarfed by the 1.5 billion smartphone shipments that CCS Insight forecasts in 2015. The data above is taken from Market Forecast: Wearables Worldwide, 2014-2018, which is published as part of CCS Insight's extensive wearables research service. Click on the infographic above for a larger version or click here for a PDF version. CCS Insight is a global technology analyst company focussing on the mobile, Internet and media industries. It provides comprehensive services that are tailored to meet the needs of individual clients, helping them make sense of the connected world. For further information contact: Hugo Deacon Harvard PR Tel: + 44 (0)20 7861 2842 E-mail: <!-- var prefix = 'm&#97;&#105;lt&#111;:'; var suffix = ''; var attribs = ''; var path = 'hr' + 'ef' + '='; var addy96317 = 'ccs&#105;ns&#105;ght' + '&#64;'; addy96317 = addy96317 + 'h&#97;rv&#97;rd' + '&#46;' + 'c&#111;' + '&#46;' + '&#117;k'; document.write( '<a ' + path + '\'' + prefix + addy96317 + suffix + '\'' + attribs + '>' ); document.write( addy96317 ); document.write( '<\/a>' ); //--> <!-- document.write( '<span style=\'display: none;\'>' ); //--> This e-mail address is being protected from spambots."	2015/02/17	emergent
http://www.emergent.info/vogue-offices-rats	Claim: Vogue magazine's new offices are infested with rats	unverified	['conde nast', 'rats', 'Vogue']	http://gawker.com/	http://gawker.com/vogue-s-shiny-new-office-has-a-big-rat-problem-1661685600?utm_campaign=socialflow_gawker_twitter&utm_source=gawker_twitter&utm_medium=socialflow	2014/11/21	anna wintourEarlier this month, Condé Nast commenced its long-anticipated move to 1 World Trade Center, whose landlord is counting on the magazine publisher to anchor the building and attract other hip companies to the fortified Financial District. The ongoing rodent problem at Vogue, however, might give some prospective tenants pause. Even Anna Wintour is worried.Multiple sources tell Gawker that the offices of Vogue, located on floors 25 and 26 of 1WTC, are dealing with a rat infestation. The infestation is so acute, one source said, that the fashion title’s editor-in-chief, Anna Wintour, recently issued a standing order: Staffers must ensure that her personal office is rat-free before she enters it. (If you have any other details, do get in touch .)Update (3:05 p.m.): Another source with knowledge of the rat situation writes in:Sales/marketing is already in but editorial was supposed to move in Monday and they’re figuring out today if they’re pushing that back due to the infestation. A serious concern (laughable but I guess it makes sense) is all the clothing that could get nibbled through.The rodent invasion is particularly noteworthy given how much the magazine has been advertising its new digs on various social media channels, particularly Instagram :Here’s what Anna Wintour’s office looks like:Condé Nast did not immediately return a request for comment.Update (5:45 p.m.): Condé Nast has still not returned a request for comment.If you know more, send an email to trotter@gawker.com or hop in below.Photo credit: Associated Press	2017/12/10	emergent
http://www.emergent.info/isis-fighter-jets	Claim: ISIS fighters are being trained to fly three captured fighter jets	unverified	[]	http://www.reuters.com/	http://www.reuters.com/article/2014/10/17/us-mideast-crisis-jets-idUSKCN0I60TM20141017	2014/10/17	BEIRUT (Reuters) - Iraqi pilots who have joined Islamic State in Syria are training members of the group to fly in three captured fighter jets, a group monitoring the war said on Friday, saying it was the first time the militant group had taken to the air. The group, which has seized swathes of land in Syria and Iraq, has been flying the planes over the captured al-Jarrah military airport east of Aleppo, said Rami Abdulrahman, who runs the Britain-based Syrian Observatory for Human Rights. Reuters was not immediately able to verify the report and U.S. Central Command said it was not aware of Islamic State flying jets in Syria. U.S-led forces are bombing Islamic State bases in Syria and Iraq. The group has regularly used weaponry captured from the Syrian and Iraqi armies and has overrun several military bases but, if the report is confirmed, this would be the first time it has been able to pilot warplanes. “They have trainers, Iraqi officers who were pilots before for (former Iraqi president) Saddam Hussein,” Abdulrahman said. “People saw the flights, they went up many times from the airport and they are flying in the skies outside the airport and coming back,” he said, citing witnesses in northern Aleppo province near the base, which is 70 km (45 miles) south of the Turkish border. Witnesses reported the flights were at a low altitude and only lasted five to 10 minutes before landing, the Observatory said. It was not possible to reach the Syrian government for comment and state media did not mention the report. It was not clear whether the jets were equipped with weaponry or whether the pilots could fly longer distances in the planes, which witnesses said appeared to be MiG 21 or MiG 23 models captured from the Syrian military. U.S. “We’re not aware of ISIL conducting any flight operations in Syria or elsewhere,” U.S. Central Command spokesman Colonel Patrick Ryder said, using a former name for Islamic State. General Lloyd Austin, head of the U.S. military’s Central Command, said he could not confirm that Iraqi pilots had joined Islamic State. “We don’t have any operational reporting of ISIL flying jets in support of ISIL activity on the ground and so I cannot confirm that. And to the degree that pilots may have defected and joined the ranks of ISIL, I don’t have any information on that either,” he told a Pentagon news briefing. Pro-Islamic State Twitter accounts have previously posted pictures of captured jets in other parts of Syria but the aircraft appeared unusable, according to political analysts and diplomats. The countryside east of Aleppo city is one of the main bases of Islamic State in Syria. The al Qaeda offshoot controls up to a third of the territory of Syria, whose civil war pitting various rebel groups against the regime of President Bashar al-Assad has raged for more than three years.	2014/10/17	emergent
http://www.emergent.info/ferguson-protest-sign	"A Ferguson protester held up a sign that read, ""No mother should have to fear for her son's life every time he robs a store."""	false	['Ferguson', 'Protest']	http://imgur.com/	http://imgur.com/gallery/BGIRJUh	2014/12/03	They picked the wrong oneby Bdawgid Nov 27 2014The black community has every reason to be angry with the police, and the brutality they inflict. But making a martyr out of the kid that robbed a store and attacked a police officer is just mind boggling. Micheal Brown is one of the worst things to happen to race relations in a long time. Edit: Yes, I shopped this. It captured mine, and many others, frustration with this whole situation.		emergent
http://www.emergent.info/bruno-mars-michel-jackson-son-hoax	Claim: A DNA test proved that Bruno Mars is Michael Jackson's son	false	['Bruno Mars', 'Celebrity Deaths', 'Fake News', 'Hoaxes']	http://empirenews.net/	http://empirenews.net/dna-results-confirm-michael-jackson-is-biological-father-of-bruno-mars/	2015/01/05	DNA Results Confirm Michael Jackson Is Biological Father Of Bruno MarsPosted on| Like 0NEW YORK, New York –Â Vladimir Kershov, publicist of R&B singer Bruno Mars, has been fired today after he revealed a shocking secret regarding the pop and R&B singer. Kershov leaked private information that revealed that Michael Jackson is Mars’Â biological father.In a statement emailed to news and media outlets across the world, Kershov revealed that he was told by the singer that DNA testing had proven that Jackson, known across the world as the King of Pop, was without a doubt his biological father. After pleading with Mars, born under the name Peter Hernandez, to go public with the revelation, Mars refused to do so. Kershov insisted that it be made known to the public, and that the news would catapult the singer’s fame and boost record sales. Mars remained adamant that the information not be released. According to Kershov, he then took it upon himself and emailed the shocking news to media sources all over the world.“DNA testing has proven that Michael Jackson is the biological father of Bruno Mars,” Kershov said in the statement. “Against his wishes, I have decided to relay this message for the greater good and betterment of Bruno’s life and extravagant music career.”In a statement released by Mars’ new publicist, Jacqueline Pryor, it has been announced that Kershov was immediately fired by the singer, and may seek legal action against his former publicist. “The job of a publicist is indeed to better the career of their clients by persuading them to take part in things that cause their popularity to grow, however, the client must trust their publicist. The artist has the final say, no matter what.”When asked about the validity of Kershov’s statement, Pryor surprisingly made it clear that the information is accurate. “It is true. Doesn’t mean he was right in saying so, but it is true. When it comes to 29-year-old Bruno Mars, Michael Jackson is the father!”	2014/12/27	emergent
http://www.emergent.info/IBM-job-cuts	Claim: IBM will cut more than 110,000 jobs this week	unverified	['IBM']	http://www.forbes.com/	http://www.forbes.com/sites/robertcringely/2015/01/22/next-weeks-bloodbath-at-ibm-wont-fix-the-real-problem/	2015/01/26	"Opinions expressed by Forbes Contributors are their own.I am a Silicon Valley iconoclast who writes about technology.Share to facebookShare to twitterShare to linkedin[Updated on Jan. 27 with comment from IBM after fifth paragraph and on Jan. 26 at bottom of post. Click here to read a follow-up post.]I’ve been hearing since before Christmas about Project Chrome, the code name for what has been touted to me as the biggest reorganization inIBMhistory. Well, Project Chrome is finally upon us, triggered I suppose by t his week’s announcement of an 11th consecutive quarter of declining revenue for IBM. Project Chrome is bad news, not good. Customers and employees alike should expect the worst.To fix its business problems and speed up its “transformation,""nextweek about 26 percent of IBM's employees will be getting phone calls from their managers. A few hours later a package will appear on their doorsteps with all the paperwork. Project Chrome will hit many of the worldwide services operations. The USA will be hit hard, but so will other locations. IBM's contractors can expect regular furloughs in 2015. One in four IBMers reading this column will probably start looking for a new job next week. Those employees will all be gone by the end of February.In the USA mainframe and storage talent will see deep cuts. This is a bit short-sighted and typical for IBM. They just announced the new Z13 mainframe and hope it will stimulate sales. Yet they will be cutting the very teams needed to help move customers from their old systems to the new Z13.The storage cuts are likely to be short-sighted, too. Most cloud services use different storage technology than customers use in their data centers. This makes data replication and synchronization difficult. IBM's cloud business needs to find a way to efficiently work well with storage systems found in customer data centers. Whacking the storage teams won't help with this problem.Project Chrome appears to be a pure accounting resource action — driven by the executive suite and designed to make IBM's financials look better for the next few quarters. Global Technology Services, the outsourcing part of IBM, is continuing to lose customers. That rate of loss — one Lufthansa-size customer every six weeks — seems to be holding. The size of Project Chrome cuts suggest IBM is trying to get three or four quarters ahead of the expected business losses. At this point IBM's business losses have become a self-fulfilling process with deep cuts followed by increasingly bad service, increasingly madder customers, and more lost business.When reached, IBM sent the following response: ""We do not comment on rumors, even ridiculous or baseless ones. If anyone had checked information readily available from our public earnings statements, or had simply asked us, they would know that IBM has already announced the company has just taken a $600 million charge for workforce rebalancing. This equates to several thousand people, a mere fraction of what's been reported. Last year, IBM hired 45,000 people, and the company currently has about 15,000 job openings around the world for new skills in growth areas such as cloud, analytics, security, and social and mobile technologies. This is evidence that IBM continues to remix its skills to match where we see the best opportunities in the marketplace.""The biggest reorganization in IBM's history will not really begin until the Project Chrome resource actions are done. People let go will be excluded from consideration for the new business units. In a few months those new business units will start to work calling on IBM customers to sell them on the new CAMSS (Cloud, Analytics, Mobile , Social and Security ) stuff. They will walk into a hornet's nest.Some reorganizations are well thought-out and absolutely essential but Project Chrome won’t be one of those. It will traumatize the corporation and put most accounts into immediate crisis. While survivors dig out from the devastation IBM will change their managers and their job descriptions. With fewer people and changing roles, things IBM has contractual obligations to do for its customers will start to be overlooked. If you are an IBM customer you should probably should start working on plans to keep your projects moving forward and your systems running.If you are an investor or Wall Street analyst it’s time to take a closer look at IBM’s messaging. Stop believing everything you hear from IBM. Big Blue is a master at controlling the discussion. They state or announce something, treating it as fact whether it exists or not. They build a story around it. IBM uses this approach to control competitors, to manage customer expectations, and to conduct business on IBM's terms.So while IBM is supposedly transforming, they are also losing business and customers every quarter. What are they actually doing to fix this? Nothing. In saying the company is in a transition and is going to go through the biggest reorganization in its history, will this really fix a very obvious customer relationship problem? No, it won’t.Response from IBM (via its Hong Kong office's blog) :IBM does not comment on rumors or speculation. However, we’ll make an exception when the speculation is stupid. That’s the case here, where an industry gadfly is trying to make noise about how IBM is about to lay off 26 percent of its workforce. That’s over 100,000 people, which is totally ludicrous.The fact is that IBM already announced, after 3Q earnings report, that the company would take a $600 million charge for restructuring. That’s several thousand people. Not 10,000, or 100,000. Moreover, IBM currently has job postings for more than 10,000 professionals worldwide, with more than half of them in growth areas such as cloud, analytics, security and mobile technologies. IBM’s new cloud leader, Senior Vice President Robert LeBlanc, told Fortune this week that IBM has plans to hire 1,000 cloud professionals.A little perspective on IBM’s earnings is in order. The company still makes huge profit… $21 billion in operating pre-tax profit last year. And IBM’s “strategic imperatives” represent 27% ( and growing ) of the company’s total revenue… $25 billion in revenues, up 16 percent. We have high growth in a substantial portion of the portfolio, and those areas (CAMSS) have better-than-normal margins in areas that matter most to clients today — that’s the heart of the IBM transformation.I came to Silicon Valley in 1977 and helped start companies now worth a total of more than $1 trillion. My job today is to explain technology to businesspeople and business to technologists. Somebody has to do it. I have been a columnist at Inc, InfoWorld, and Worth, written..."	2015/01/22	emergent
http://www.emergent.info/stainless-Apple-Watch-price	Claim: The stainless steel Apple Watch will be priced between $499 and $549 USD	true	['Apple Watch', 'Apple Watch Price', 'Gene Munster', 'Piper Jaffray']	http://appleinsider.com/	http://appleinsider.com/articles/15/03/02/piper-jaffray-pegs-stainless-steel-apple-watch-price-at-499-edition-at-4999	2015/03/03	"By Mikey CampbellMonday, March 02, 2015, 06:55 pm PT (09:55 pm ET)Investment firm Piper Jaffray issued a report on Monday breaking down expected Apple Watch average selling prices, saying an aggregate of consumers will likely spend closer to $550 on the device, considering case and internal storage options.Building off Apple's quoted starting price of $349 , analyst Gene Munster anticipates combined Apple Watch ASPs to fall closer to $550, or $575 to $600 including additional bands.Apple Watch will come in three separate price tiers —Apple Watch Sport, Apple Watch and Apple Watch Edition —each series including two display sizes and a variety of strap choices.Starting with Apple Watch Sport, the aluminum and glass version widely thought to be the least expensive model, Munster expects an ASP of $450 after factoring in configuration alternatives like case and internal storage options.The stainless steel Apple Watch model, which also features a more expensive sapphire glass cover, is expected to start at $499 to $549, again depending on customizable features. Munster sees an overall ASP at around $650 for the mid-tier Watch series.On the high end, the analyst forecasts base model Apple Watch Edition devices to start at $4,999, but classifies segment ASP closer to $7,500 after adding in straps made from precious metals.Based on current pricing for Apple's silicon iPhone 6 cases, which come in at $35, Munster sees elastomer Apple Watch straps to start in a similar $29 to $35 range, while leather bands could be priced between $49 to $59. Pricing for metal bands like the link bracelet and Milanese loop are more difficult to determine, but the analyst believes steel versions will come in at $99, while gold bands could be priced into the thousands of dollars.""If you assume that 55 percent of bands purchased are elastomer, 35 percent leather, 10 percent steel, and about 5,000 total gold bands are sold, the average band ASP could be around $50,"" Munster writes.He added that if half of all Watch buyers purchase a band —assuming 8 million Watches are sold in 2015 —the accessory range would add $25 to Apple's watch category, equating to a $575 ASP. If every Watch customer purchases an extra strap, it would tack on $50, bringing ASP up to $600.The lower-cost Sport model is expected to make up 55 percent of overall Watch sales, while the mid-tier Apple Watch will take another 45 percent. That leaves very little room for Apple Watch Edition, but Munster believes Apple might sell roughly 10,000 units this year. In an interesting comparison, the firm calculates that Apple Watch Edition business could equate to about two percent of luxury watchmaker Rolex, which moves between 600,000 to 750,000 units each year.Finally, Munster expects Apple to reveal a better sense of device pricing at its March 9 event , as well as highlight ""special features"" to drum up consumer interest ahead of release.AppleInsider will be covering the ""Spring forward"" event live from San Francisco's Yerba Buena Center next week.Topics:"	2015/03/03	emergent
