page,claim,verdict,tags,date,author,source_list,source_url,value,name
https://www.snopes.com/fact-check/suge-knight-dead/,"in april 2018, suge knight was stabbed to death in prison.",false,"['brightfeed', 'brightfeed.me', 'celebrity death hoaxes', 'suge knight']",2018/04/18,Dan MacGuill,"['https://www.imdb.com/title/tt0096895/fullcredits?ref_=tt_cl_sm#cast', 'https://www.cnn.com/2015/04/30/entertainment/suge-knight-murder-court-trial/index.html', 'http://archive.is/3DqMo#selection-197.14-197.181', 'https://app5.lasd.org/iic/details.cfm']",http://archive.is/3DqMo#selection-197.14-197.181,1,brian.walsh
https://www.snopes.com/fact-check/islamberg-raid/,"in july 2017, president trump dispatched federal investigators to the hamlet of islamberg, new york, where they uncovered ""america's worst nightmare"".",false,"['freedom daily', 'islamberg', 'muslims']",2017/07/19,Kim LaCapria,"['http://www.thedailybeast.com/america-snores-when-christian-terrorist-threatens-to-massacre-muslims', 'https://www.google.com/maps/dir/Islamberg,+Tompkins,+NY/Town+of+Union,+NY/@42.0644944,-75.9628383,10z/data=!3m1!4b1!4m13!4m12!1m5!1m1!1s0x89db6d335e9df419:0x6ad4a74cd8797a24!2m2!1d-75.340031!2d42.050301!1m5!1m1!1s0x89daec4e60105bf7:0x2e70c7ec6791bc8d!2m2!1d-76.0241501!2d42.1257777', 'http://www.thedailybeast.com/trump-supporting-bigots-to-target-upstate-new-york-muslims', 'https://en.wikipedia.org/wiki/Islamberg,_New_York']",http://www.thedailybeast.com/trump-supporting-bigots-to-target-upstate-new-york-muslims,2,brian.walsh
https://www.snopes.com/fact-check/islamberg-raid/,"in july 2017, president trump dispatched federal investigators to the hamlet of islamberg, new york, where they uncovered ""america's worst nightmare"".",false,"['freedom daily', 'islamberg', 'muslims']",2017/07/19,Kim LaCapria,"['http://www.thedailybeast.com/america-snores-when-christian-terrorist-threatens-to-massacre-muslims', 'https://www.google.com/maps/dir/Islamberg,+Tompkins,+NY/Town+of+Union,+NY/@42.0644944,-75.9628383,10z/data=!3m1!4b1!4m13!4m12!1m5!1m1!1s0x89db6d335e9df419:0x6ad4a74cd8797a24!2m2!1d-75.340031!2d42.050301!1m5!1m1!1s0x89daec4e60105bf7:0x2e70c7ec6791bc8d!2m2!1d-76.0241501!2d42.1257777', 'http://www.thedailybeast.com/trump-supporting-bigots-to-target-upstate-new-york-muslims', 'https://en.wikipedia.org/wiki/Islamberg,_New_York']","https://en.wikipedia.org/wiki/Islamberg,_New_York",2,brian.walsh
https://www.snopes.com/fact-check/islamberg-raid/,"in july 2017, president trump dispatched federal investigators to the hamlet of islamberg, new york, where they uncovered ""america's worst nightmare"".",false,"['freedom daily', 'islamberg', 'muslims']",2017/07/19,Kim LaCapria,"['http://www.thedailybeast.com/america-snores-when-christian-terrorist-threatens-to-massacre-muslims', 'https://www.google.com/maps/dir/Islamberg,+Tompkins,+NY/Town+of+Union,+NY/@42.0644944,-75.9628383,10z/data=!3m1!4b1!4m13!4m12!1m5!1m1!1s0x89db6d335e9df419:0x6ad4a74cd8797a24!2m2!1d-75.340031!2d42.050301!1m5!1m1!1s0x89daec4e60105bf7:0x2e70c7ec6791bc8d!2m2!1d-76.0241501!2d42.1257777', 'http://www.thedailybeast.com/trump-supporting-bigots-to-target-upstate-new-york-muslims', 'https://en.wikipedia.org/wiki/Islamberg,_New_York']","https://www.google.com/maps/dir/Islamberg,+Tompkins,+NY/Town+of+Union,+NY/@42.0644944,-75.9628383,10z/data=!3m1!4b1!4m13!4m12!1m5!1m1!1s0x89db6d335e9df419:0x6ad4a74cd8797a24!2m2!1d-75.340031!2d42.050301!1m5!1m1!1s0x89daec4e60105bf7:0x2e70c7ec6791bc8d!2m2!1d-76.0241501!2d42.1257777",2,brian.walsh
https://www.snopes.com/fact-check/islamberg-raid/,"in july 2017, president trump dispatched federal investigators to the hamlet of islamberg, new york, where they uncovered ""america's worst nightmare"".",false,"['freedom daily', 'islamberg', 'muslims']",2017/07/19,Kim LaCapria,"['http://www.thedailybeast.com/america-snores-when-christian-terrorist-threatens-to-massacre-muslims', 'https://www.google.com/maps/dir/Islamberg,+Tompkins,+NY/Town+of+Union,+NY/@42.0644944,-75.9628383,10z/data=!3m1!4b1!4m13!4m12!1m5!1m1!1s0x89db6d335e9df419:0x6ad4a74cd8797a24!2m2!1d-75.340031!2d42.050301!1m5!1m1!1s0x89daec4e60105bf7:0x2e70c7ec6791bc8d!2m2!1d-76.0241501!2d42.1257777', 'http://www.thedailybeast.com/trump-supporting-bigots-to-target-upstate-new-york-muslims', 'https://en.wikipedia.org/wiki/Islamberg,_New_York']",http://www.thedailybeast.com/america-snores-when-christian-terrorist-threatens-to-massacre-muslims,2,brian.walsh
https://www.snopes.com/fact-check/giant-skeleton-uncovered-saudi-arabia/,the skeleton of a giant human was uncovered during gas exploration in saudi arabia.,false,"['giant skeletons', 'Oddities']",2004/06/21,David Mikkelson,"['http://web.archive.org/web/20070923000428/http://anwary-islam.com/prophet-story/hud.htm', 'http://www.worth1000.com', 'http://www-news.uchicago.edu/releases/photos/expedition/excavation.jpg', 'http://web.archive.org/web/20030710000140/http://www.worth1000.com/cache/contest/contestcache.asp?contest_id=447&display=photoshop', 'http://web.archive.org/web/20070408155104/http://www.auburn.edu/academic/classes/zy/0301/Topic4/Topic4.html#square', 'http://web.archive.org/web/20040515120309/http://nation.ittefaq.com/artman/publish/article_8519.shtml']",http://web.archive.org/web/20070408155104/http://www.auburn.edu/academic/classes/zy/0301/Topic4/Topic4.html#square,2,brian.walsh
https://www.snopes.com/fact-check/giant-skeleton-uncovered-saudi-arabia/,the skeleton of a giant human was uncovered during gas exploration in saudi arabia.,false,"['giant skeletons', 'Oddities']",2004/06/21,David Mikkelson,"['http://web.archive.org/web/20070923000428/http://anwary-islam.com/prophet-story/hud.htm', 'http://www.worth1000.com', 'http://www-news.uchicago.edu/releases/photos/expedition/excavation.jpg', 'http://web.archive.org/web/20030710000140/http://www.worth1000.com/cache/contest/contestcache.asp?contest_id=447&display=photoshop', 'http://web.archive.org/web/20070408155104/http://www.auburn.edu/academic/classes/zy/0301/Topic4/Topic4.html#square', 'http://web.archive.org/web/20040515120309/http://nation.ittefaq.com/artman/publish/article_8519.shtml']",http://web.archive.org/web/20040515120309/http://nation.ittefaq.com/artman/publish/article_8519.shtml,1,brian.walsh
https://www.snopes.com/fact-check/new-jersey-ballot-tax-returns/,new jersey passed a bill to keep president trump off 2020 ballots if he doesnât release his tax returns.,mostly true,['donald trump'],2019/02/24,David Mikkelson,"['https://www.njleg.state.nj.us/2018/Bills/S0500/119_I1.HTM', 'https://www.nytimes.com/interactive/2017/03/14/us/politics/document-Donald-Trump-2005-Tax.html', 'https://www.taxnotes.com/presidential-tax-returns', 'https://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=HB&billnumber=712&year=2019', 'https://www.270towin.com/2000_Election/', 'https://oge.gov/Web/OGE.nsf/Resources/Presidential+Candidate+financial+disclosures.', 'https://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=SB&billnumber=94&year=2019']",https://www.njleg.state.nj.us/2018/Bills/S0500/119_I1.HTM,2,brian.walsh
https://www.snopes.com/fact-check/new-jersey-ballot-tax-returns/,new jersey passed a bill to keep president trump off 2020 ballots if he doesnât release his tax returns.,mostly true,['donald trump'],2019/02/24,David Mikkelson,"['https://www.njleg.state.nj.us/2018/Bills/S0500/119_I1.HTM', 'https://www.nytimes.com/interactive/2017/03/14/us/politics/document-Donald-Trump-2005-Tax.html', 'https://www.taxnotes.com/presidential-tax-returns', 'https://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=HB&billnumber=712&year=2019', 'https://www.270towin.com/2000_Election/', 'https://oge.gov/Web/OGE.nsf/Resources/Presidential+Candidate+financial+disclosures.', 'https://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=SB&billnumber=94&year=2019']",https://www.taxnotes.com/presidential-tax-returns,2,brian.walsh
https://www.snopes.com/fact-check/new-jersey-ballot-tax-returns/,new jersey passed a bill to keep president trump off 2020 ballots if he doesnât release his tax returns.,mostly true,['donald trump'],2019/02/24,David Mikkelson,"['https://www.njleg.state.nj.us/2018/Bills/S0500/119_I1.HTM', 'https://www.nytimes.com/interactive/2017/03/14/us/politics/document-Donald-Trump-2005-Tax.html', 'https://www.taxnotes.com/presidential-tax-returns', 'https://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=HB&billnumber=712&year=2019', 'https://www.270towin.com/2000_Election/', 'https://oge.gov/Web/OGE.nsf/Resources/Presidential+Candidate+financial+disclosures.', 'https://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=SB&billnumber=94&year=2019']",https://www.capitol.hawaii.gov/measure_indiv.aspx?billtype=SB&billnumber=94&year=2019,2,brian.walsh
