page	claim	verdict	tags	date	author	source_list	source_url
https://www.snopes.com/fact-check/page/ban-oktoberfest-petition/	muslim refugees are demanding that the city of munich, germany, ban oktoberfest.	false	['ban oktoberfest', 'munich', 'muslim', 'muslims', 'oktoberfest', 'Petitions']		Dan Evon	['https://www.change.org/p/wawa-wawa-bring-back-the-hot-roast-beef-sandwiches', 'https://www.change.org/p/beyonce-knowles-kelly-rowland-michelle-williams-i-want-destiny-s-child-to-make-another-album']	https://www.change.org/p/wawa-wawa-bring-back-the-hot-roast-beef-sandwiches
https://www.snopes.com/fact-check/page/ban-oktoberfest-petition/	muslim refugees are demanding that the city of munich, germany, ban oktoberfest.	false	['ban oktoberfest', 'munich', 'muslim', 'muslims', 'oktoberfest', 'Petitions']		Dan Evon	['https://www.change.org/p/wawa-wawa-bring-back-the-hot-roast-beef-sandwiches', 'https://www.change.org/p/beyonce-knowles-kelly-rowland-michelle-williams-i-want-destiny-s-child-to-make-another-album']	https://www.change.org/p/beyonce-knowles-kelly-rowland-michelle-williams-i-want-destiny-s-child-to-make-another-album
https://www.snopes.com/fact-check/page/safe-harbor-initiative-blue-strip/	blue lines painted on curbs signify a residence where a police officer can reliably find backup.	mixture	['black lives matter', 'coded symbols', 'police lives matter', 'war on police']		Kim LaCapria	['https://www.quora.com/What-can-I-do-to-best-support-my-local-police-officers-who-live-in-my-neighborhood-and-patrol-the-beat-here', 'http://pittsylvaniacountyva.gov/DocumentCenter/View/186', 'http://police.kingsporttn.gov/911_users_guide']	https://www.quora.com/What-can-I-do-to-best-support-my-local-police-officers-who-live-in-my-neighborhood-and-patrol-the-beat-here
https://www.snopes.com/fact-check/page/safe-harbor-initiative-blue-strip/	blue lines painted on curbs signify a residence where a police officer can reliably find backup.	mixture	['black lives matter', 'coded symbols', 'police lives matter', 'war on police']		Kim LaCapria	['https://www.quora.com/What-can-I-do-to-best-support-my-local-police-officers-who-live-in-my-neighborhood-and-patrol-the-beat-here', 'http://pittsylvaniacountyva.gov/DocumentCenter/View/186', 'http://police.kingsporttn.gov/911_users_guide']	http://pittsylvaniacountyva.gov/DocumentCenter/View/186
https://www.snopes.com/fact-check/page/safe-harbor-initiative-blue-strip/	blue lines painted on curbs signify a residence where a police officer can reliably find backup.	mixture	['black lives matter', 'coded symbols', 'police lives matter', 'war on police']		Kim LaCapria	['https://www.quora.com/What-can-I-do-to-best-support-my-local-police-officers-who-live-in-my-neighborhood-and-patrol-the-beat-here', 'http://pittsylvaniacountyva.gov/DocumentCenter/View/186', 'http://police.kingsporttn.gov/911_users_guide']	http://police.kingsporttn.gov/911_users_guide
https://www.snopes.com/fact-check/page/small-michigan-town-syrian-refugees/	the small michigan town of menominee will be accepting 4,500 syrian refugees.	false	['']		Kim LaCapria	['http://www.detroitnews.com/story/news/local/michigan/2015/09/10/michigan-likely-take-syria-refugees/72042550/']	http://www.detroitnews.com/story/news/local/michigan/2015/09/10/michigan-likely-take-syria-refugees/72042550/
https://www.snopes.com/fact-check/page/caitlin-teagart/	the parents of braindead teen caitlin teagart plan to euthanize her because she is only capable of texting and rolling her eyes.	false	['actually funny satire', 'brain-dead teen', 'caitlin teagart', 'literally unbelievable', 'satire', 'the onion']		Kim LaCapria	['http://literallyunbelievable.org/']	http://literallyunbelievable.org/
https://www.snopes.com/fact-check/page/free-sams-club-membership/	sams club is offering free memberships to new and soontobe moms.	outdated	"['coupon groups', 'free membership', 'mom discounts', ""sam's club"", 'something for nothing']"		Kim LaCapria	['http://help.samsclub.com/app/error/error_id/1/session/L2F2LzEvdGltZS8xNDQyOTQ5NzI5L3NpZC9YX29wSDd4bQ==']	http://help.samsclub.com/app/error/error_id/1/session/L2F2LzEvdGltZS8xNDQyOTQ5NzI5L3NpZC9YX29wSDd4bQ==
https://www.snopes.com/fact-check/page/bernie-sanders-parents-holocaust/	bernie sanders parents were holocaust survivors.	false	['bernie sanders', 'bernie sanders biography', 'dorothy sanders', 'eli sanders', 'holocaust survivors']		Kim LaCapria	['http://www.huffingtonpost.com/2015/05/26/bernie-sanders-2016_n_7446570.html', 'http://www.tabletmag.com/jewish-news-and-politics/192931/bernie-sanders-story', 'http://theliberaltony.tumblr.com/post/121349161408/a-guy-named-adolf-hitler-won-an-election-in-1932']	http://www.huffingtonpost.com/2015/05/26/bernie-sanders-2016_n_7446570.html
https://www.snopes.com/fact-check/page/bernie-sanders-parents-holocaust/	bernie sanders parents were holocaust survivors.	false	['bernie sanders', 'bernie sanders biography', 'dorothy sanders', 'eli sanders', 'holocaust survivors']		Kim LaCapria	['http://www.huffingtonpost.com/2015/05/26/bernie-sanders-2016_n_7446570.html', 'http://www.tabletmag.com/jewish-news-and-politics/192931/bernie-sanders-story', 'http://theliberaltony.tumblr.com/post/121349161408/a-guy-named-adolf-hitler-won-an-election-in-1932']	http://www.tabletmag.com/jewish-news-and-politics/192931/bernie-sanders-story
https://www.snopes.com/fact-check/page/bernie-sanders-parents-holocaust/	bernie sanders parents were holocaust survivors.	false	['bernie sanders', 'bernie sanders biography', 'dorothy sanders', 'eli sanders', 'holocaust survivors']		Kim LaCapria	['http://www.huffingtonpost.com/2015/05/26/bernie-sanders-2016_n_7446570.html', 'http://www.tabletmag.com/jewish-news-and-politics/192931/bernie-sanders-story', 'http://theliberaltony.tumblr.com/post/121349161408/a-guy-named-adolf-hitler-won-an-election-in-1932']	http://theliberaltony.tumblr.com/post/121349161408/a-guy-named-adolf-hitler-won-an-election-in-1932
https://www.snopes.com/fact-check/page/eyelash-lice/	eyelash extensions are causing women to get eye lice.	mostly false	['eyelash extensions', 'eyelash extensions safe', 'eyelash lice', 'lash extensions', 'pediculosis ciliari', 'warnings']		Kim LaCapria	['http://www.nature.com/eye/journal/v17/n4/full/6700422a.html', 'http://www.personal.psu.edu/afr3/blogs/siowfa12/2012/11/use-mascara-watch-out-for-eyelash-mites.html', 'http://www.cmaj.ca/content/182/4/E187.full']	http://www.nature.com/eye/journal/v17/n4/full/6700422a.html
https://www.snopes.com/fact-check/page/eyelash-lice/	eyelash extensions are causing women to get eye lice.	mostly false	['eyelash extensions', 'eyelash extensions safe', 'eyelash lice', 'lash extensions', 'pediculosis ciliari', 'warnings']		Kim LaCapria	['http://www.nature.com/eye/journal/v17/n4/full/6700422a.html', 'http://www.personal.psu.edu/afr3/blogs/siowfa12/2012/11/use-mascara-watch-out-for-eyelash-mites.html', 'http://www.cmaj.ca/content/182/4/E187.full']	http://www.personal.psu.edu/afr3/blogs/siowfa12/2012/11/use-mascara-watch-out-for-eyelash-mites.html
