page,claim,verdict,tags,date,author,source_list,source_url,value,name
https://www.snopes.com/fact-check/channing-tatum-jenna-dewan-divorce/,actor channing tatum and dancer and actor jenna dewan announced their separation in april 2018.,true,"['Celebrities', 'channing tatum', 'divorce', 'hollywood', 'jenna dewan']",2018/04/04,Dan MacGuill,['https://www.instagram.com/p/BhFuWDWHVkN/'],https://www.instagram.com/p/BhFuWDWHVkN/,3,Mohamed
https://www.snopes.com/fact-check/basketball-diaries-bridge-suicide/,"a person can be seen committing suicide by jumping from a bridge in the background of a scene in the movie ""the basketball diaries.""",false,[''],2019/01/23,Dan Evon,"['https://i.imgur.com/45qW0OQ.gifv', 'https://www.nytimes.com/2010/07/18/nyregion/18ritual.html', 'https://jamesmadio.com/reels/']",https://www.nytimes.com/2010/07/18/nyregion/18ritual.html,2,Mohamed
https://www.snopes.com/fact-check/basketball-diaries-bridge-suicide/,"a person can be seen committing suicide by jumping from a bridge in the background of a scene in the movie ""the basketball diaries.""",false,[''],2019/01/23,Dan Evon,"['https://i.imgur.com/45qW0OQ.gifv', 'https://www.nytimes.com/2010/07/18/nyregion/18ritual.html', 'https://jamesmadio.com/reels/']",https://i.imgur.com/45qW0OQ.gifv,2,Mohamed
https://www.snopes.com/fact-check/basketball-diaries-bridge-suicide/,"a person can be seen committing suicide by jumping from a bridge in the background of a scene in the movie ""the basketball diaries.""",false,[''],2019/01/23,Dan Evon,"['https://i.imgur.com/45qW0OQ.gifv', 'https://www.nytimes.com/2010/07/18/nyregion/18ritual.html', 'https://jamesmadio.com/reels/']",https://jamesmadio.com/reels/,2,Mohamed
https://www.snopes.com/fact-check/denaturalization-task-force/,"a new u.s. citizenship and immigration services task force is charged with identifying naturalized citizens who cheated on their applications and seeking the revocation of their citizenship, a process known as ""denaturalization.""",true,"['donald trump', 'immigration', 'USCIS']",2018/07/12,David Emery,"['https://www.justice.gov/opa/pr/justice-department-secures-first-denaturalization-result-operation-janus', 'https://apnews.com/1da389a535684a5f9d0da74081c242f3', 'https://www.npr.org/2018/07/04/625980910/white-house-launches-effort-to-take-citizenship-from-those-who-lied-to-get-it', 'https://www.justice.gov/opa/pr/united-states-files-denaturalization-complaints-florida-connecticut-and-new-jersey-against', 'https://www.justice.gov/usao-mdfl/pr/winter-haven-resident-convicted-obtaining-us-citizenship-fraud']",https://www.justice.gov/opa/pr/justice-department-secures-first-denaturalization-result-operation-janus,2,Mohamed
https://www.snopes.com/fact-check/denaturalization-task-force/,"a new u.s. citizenship and immigration services task force is charged with identifying naturalized citizens who cheated on their applications and seeking the revocation of their citizenship, a process known as ""denaturalization.""",true,"['donald trump', 'immigration', 'USCIS']",2018/07/12,David Emery,"['https://www.justice.gov/opa/pr/justice-department-secures-first-denaturalization-result-operation-janus', 'https://apnews.com/1da389a535684a5f9d0da74081c242f3', 'https://www.npr.org/2018/07/04/625980910/white-house-launches-effort-to-take-citizenship-from-those-who-lied-to-get-it', 'https://www.justice.gov/opa/pr/united-states-files-denaturalization-complaints-florida-connecticut-and-new-jersey-against', 'https://www.justice.gov/usao-mdfl/pr/winter-haven-resident-convicted-obtaining-us-citizenship-fraud']",https://www.justice.gov/opa/pr/united-states-files-denaturalization-complaints-florida-connecticut-and-new-jersey-against,2,Mohamed
https://www.snopes.com/fact-check/denaturalization-task-force/,"a new u.s. citizenship and immigration services task force is charged with identifying naturalized citizens who cheated on their applications and seeking the revocation of their citizenship, a process known as ""denaturalization.""",true,"['donald trump', 'immigration', 'USCIS']",2018/07/12,David Emery,"['https://www.justice.gov/opa/pr/justice-department-secures-first-denaturalization-result-operation-janus', 'https://apnews.com/1da389a535684a5f9d0da74081c242f3', 'https://www.npr.org/2018/07/04/625980910/white-house-launches-effort-to-take-citizenship-from-those-who-lied-to-get-it', 'https://www.justice.gov/opa/pr/united-states-files-denaturalization-complaints-florida-connecticut-and-new-jersey-against', 'https://www.justice.gov/usao-mdfl/pr/winter-haven-resident-convicted-obtaining-us-citizenship-fraud']",https://www.npr.org/2018/07/04/625980910/white-house-launches-effort-to-take-citizenship-from-those-who-lied-to-get-it,2,Mohamed
https://www.snopes.com/fact-check/denaturalization-task-force/,"a new u.s. citizenship and immigration services task force is charged with identifying naturalized citizens who cheated on their applications and seeking the revocation of their citizenship, a process known as ""denaturalization.""",true,"['donald trump', 'immigration', 'USCIS']",2018/07/12,David Emery,"['https://www.justice.gov/opa/pr/justice-department-secures-first-denaturalization-result-operation-janus', 'https://apnews.com/1da389a535684a5f9d0da74081c242f3', 'https://www.npr.org/2018/07/04/625980910/white-house-launches-effort-to-take-citizenship-from-those-who-lied-to-get-it', 'https://www.justice.gov/opa/pr/united-states-files-denaturalization-complaints-florida-connecticut-and-new-jersey-against', 'https://www.justice.gov/usao-mdfl/pr/winter-haven-resident-convicted-obtaining-us-citizenship-fraud']",https://www.justice.gov/usao-mdfl/pr/winter-haven-resident-convicted-obtaining-us-citizenship-fraud,2,Mohamed
https://www.snopes.com/fact-check/denaturalization-task-force/,"a new u.s. citizenship and immigration services task force is charged with identifying naturalized citizens who cheated on their applications and seeking the revocation of their citizenship, a process known as ""denaturalization.""",true,"['donald trump', 'immigration', 'USCIS']",2018/07/12,David Emery,"['https://www.justice.gov/opa/pr/justice-department-secures-first-denaturalization-result-operation-janus', 'https://apnews.com/1da389a535684a5f9d0da74081c242f3', 'https://www.npr.org/2018/07/04/625980910/white-house-launches-effort-to-take-citizenship-from-those-who-lied-to-get-it', 'https://www.justice.gov/opa/pr/united-states-files-denaturalization-complaints-florida-connecticut-and-new-jersey-against', 'https://www.justice.gov/usao-mdfl/pr/winter-haven-resident-convicted-obtaining-us-citizenship-fraud']",https://apnews.com/1da389a535684a5f9d0da74081c242f3,1,Mohamed
https://www.snopes.com/fact-check/twilight-saga-moonlight-glow/,a twilight sequel titled moonlight glow is coming to theaters in november 2015.,false,"['Entertainment', 'moonlight glow', 'twilight saga']",,Kim LaCapria,"['http://i.imgur.com/4xtD0YW.jpg', 'http://cylonka.deviantart.com/art/Twilight-Moonlight-Glow-poster-383180750', 'https://en.wikipedia.org/wiki/Twilight_(series)#Other_books', 'http://i.imgur.com/LgoLBVd.jpg', 'http://i.imgur.com/wTASRIZ.jpg']",https://en.wikipedia.org/wiki/Twilight_(series)#Other_books,2,Mohamed
