page,claim,verdict,tags,date,author,source_list,source_url,value,name
https://www.snopes.com/fact-check/has-indictment-been-issued-uranium-one/,a maryland man has been indicted in connection with the uranium one investigation.,false,"['clinton foundation', 'conspiracy theories', 'daily wire', 'uranium one']",,Bethania Palma,"['https://www.yahoo.com/news/doubts-surface-key-witness-uranium-one-probe-clinton-203614558.html', 'https://archive.fo/DDCbG', 'https://www.justice.gov/criminal-fraud/foreign-corrupt-practices-act', 'https://www.fredericknewspost.com/news/crime_and_justice/cops_and_crime/feds-indict-dragon-distillery-owner-for-international-financial-crimes-tied/article_909ce3bb-9e43-5862-876d-af2897cbf1d5.html', 'https://archive.fo/ACfcP', 'https://www.justice.gov/opa/pr/russian-nuclear-energy-official-pleads-guilty-money-laundering-conspiracy-involving', 'https://archive.fo/jiO5s', 'https://archive.fo/MXgIx', 'https://archive.fo/Ib0jS', 'https://www.justice.gov/usao-md/pr/russian-national-and-three-others-charged-kickback-scheme-obtain-contracts-transport', 'https://www.justice.gov/opa/pr/former-president-maryland-based-transportation-company-indicted-11-counts-related-foreign']",https://www.justice.gov/opa/pr/former-president-maryland-based-transportation-company-indicted-11-counts-related-foreign,1,Mama29
https://www.snopes.com/fact-check/sasha-obama-drive-by-shootout/,sasha obama was killed in a drive-by shooting in july 2017.,false,"['death hoax', 'fake news', 'news bible report', 'newsbiblereport.com', 'sasha obama']",2017/08/10,Dan Evon,['https://archive.is/gi7fw'],https://archive.is/gi7fw,1,Mama29
https://www.snopes.com/fact-check/ikes-peak/,"dwight d. eisenhower became president of columbia university because the schools trustees confused him with his younger brother, milton.",false,['Movies'],,David Mikkelson,['http://www.libraries.psu.edu/psul/digital/pshistory/presidents/eisenhower.html'],http://www.libraries.psu.edu/psul/digital/pshistory/presidents/eisenhower.html,3,Mama29
https://www.snopes.com/fact-check/signed-and-dated/,types of influenza outbreaks in recent years correspond to chinese astrological symbols.,false,['Swine Flu'],,David Mikkelson,['http://www.webexhibits.org/calendars/calendar-chinese.html'],http://www.webexhibits.org/calendars/calendar-chinese.html,2,Mama29
https://www.snopes.com/fact-check/cvs/,cvs pharmacy had an issue with an employee wearing ties bearing religious symbolism at one of their virginia outlets.,true,[],,David Mikkelson,['https://www.facebook.com/betty.melton.35/posts/10201127964339745'],https://www.facebook.com/betty.melton.35/posts/10201127964339745,1,Mama29
https://www.snopes.com/fact-check/lowes-coupon-scam/,lowe's is giving out coupons worth up to $100 to facebook users.,false,"['coupon scam', ""lowe's"", 'something for nothing']",2015/05/22,David Mikkelson,['https://www.facebook.com/lowes'],https://www.facebook.com/lowes,3,Mama29
https://www.snopes.com/fact-check/milk-bone-facebook-warning/,milk-bone dog treats cause cancer in one of every two dogs that eat them.,false,[''],2016/03/25,Kim LaCapria,['http://www.dogfoodadvisor.com/red-flag-ingredients/bha-in-dog-food/'],http://www.dogfoodadvisor.com/red-flag-ingredients/bha-in-dog-food/,2,Mama29
https://www.snopes.com/fact-check/don39t-tread-on-me/,"navy seals were ordered to discontinue wearing the ""don't tread on me"" uniform patch because it is too closely associated with ""radical groups.""",false,"[""don't tread on me"", 'gadsden flag']",2013/11/04,David Mikkelson,['http://www.gadsden.info/history.html'],http://www.gadsden.info/history.html,1,Mama29
https://www.snopes.com/fact-check/2015-pontiac-firebird-trans-am/,general motors is resurrecting the pontiac firebird trans am for 2015.,false,[],,David Mikkelson,['http://bravenewcarz.com/return-of-2015-pontiac-firebird-trans-am/'],http://bravenewcarz.com/return-of-2015-pontiac-firebird-trans-am/,3,Mama29
https://www.snopes.com/fact-check/little-timmy-facebook-flag/,"facebook removed an image of ""little timmy"" saluting the united states flag because ""non-americans"" found it offensive.",false,"['american flag', 'facebook', 'little timmy', 'Southern Baptists for Todd Kincannon']",2015/10/30,Dan Evon,['https://www.facebook.com/Southern-Baptists-for-Todd-Kincannon-7-1023021091066215/info/?tab=page_info'],https://www.facebook.com/Southern-Baptists-for-Todd-Kincannon-7-1023021091066215/info/?tab=page_info,3,Mama29
